entry_date,origin_countries,target_countries,start_date,end_date,announced_date,budget_usd,fb_accounts,fb_pages,fb_pages_followers,fb_groups,fb_groups_followers,Events,ig_accounts,ig_followers,affiliation,keywords,description,source,url
12/21/2019,Georgia,Georgia,,,12/20/2019,"316,000",39,344,"442,300",13,"52,000",,22,"2,100","Panda, an advertising agency in Georgia, and the Georgian Dream-led government","News, Elections, Policies, Public Figures, Opposition","Domestic news and political issues such as elections, government policies, public officials, criticism of the opposition and local activist organizations",FB internal investigation and public reporting,https://about.fb.com/news/2019/12/removing-coordinated-inauthentic-behavior-from-georgia-vietnam-and-the-us/
12/21/2019,"Vietnam, USA","US, Vietnam",,,12/20/2019,"9,500,000",610,89,"55,000,000",156,"381,500",,72,"92,000","Epoch Media Group, a US-based media organization","USA, Impeachment, Conservativism, Elections, Trade, Candidates, Family Values, Religion","US political news and issues including impeachment, conservative ideology, political candidates, elections, trade, family values and freedom of religion",FB internal investigation and public reporting,https://about.fb.com/news/2019/12/removing-coordinated-inauthentic-behavior-from-georgia-vietnam-and-the-us/
11/05/2019,Russia,Libya,May-14,Oct-19,10/30/2019,"10,000",14,12,"212,000",1,1,,1,"29,300",,"Libya, Crime, Natural Disasters, Public Health, Turkey, Terrorism, Immigration, Violence, Elections, USA, Russia","Libyan politics, crimes, natural disasters, public health, Turkey’s alleged sponsoring of terrorism in Libya, illegal migration, militia violence, the detention of Russian citizens in Libya for alleged interference in elections and a meeting between Khalifa Haftar, head of the Libyan National Army, and Putin. criticism of the Government of National Accord, US foreign policy, and Haftar, as well as support of Muammar Gaddafi and his son Saif al-Islam Gaddafi, Russian foreign policy, and Khalifa Haftar. ",Stanford Internet Observatory and open source reporting,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-russia/
11/05/2019,Russia,"Madagascar, Central African Republic, Mozambique, Democratic Republic of the Congo, Ivory Coast, Cameroon",Apr-18,Oct-19,10/30/2019,"77,000",35,53,"475,000",7,450,,5,650,Internet Research Agency (IRA) and Yevgeny Prigozhin,"Russia, Africa, Elections, France, USA","Russian policies in Africa, elections in Madagascar and Mozambique, election monitoring by a local non-governmental organization and criticism of French and US policies",FB internal investigation and open source reporting,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-russia/
11/05/2019,Russia,Sudan,Apr-18,Sep-19,10/30/2019,160,17,18,"457,000",3,"1,300",,6,"2,900",,"Sudan, Russia, USA, Muslims ","Sudanese-Russian relations, US-Russian relations, Russian foreign policy and Muslims in Russia",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-russia/
11/05/2019,Iran,"USA, North Africa",,,10/21/2019,,93,17,"7,700",0,0,,4,145,,"Public Figures, USA, Israel, Palestine, Yemen, War","Public figures in the US, politics in the US and Israel, support of Palestine and conflict in Yemen",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/05/2019,Iran,"Venezuela, Brazil, Argentina, Bolivia, Peru, Ecuador, Mexico",,,10/21/2019,,38,6,"13,400",4,"4,200",,10,"60,000",,"Hezbollah, Iran, Saudi Arabia, Israel-Palestine, USA, Yemen, News, War","Shared Iranian state media stories on topics like Hezbollah, conflict between Iran and Saudi Arabia, tensions between Israel and Palestine and Iran and the US, war in Yemen. Local and domestic politics and news. ",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/05/2019,Iran,USA,,,10/21/2019,2,4,3,45,0,0,,7,"7,300",,"Racism, USA, Israel, Iran, Culture","Race relations in the US, criticism of US and Israel’s policy on Iran, the Black Lives Matter movement, African-American culture and the Iranian foreign policy",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/05/2019,Russia,USA,,,10/21/2019,,1,0,0,0,0,,50,"246,000",Internet Research Agency (IRA),"Elections, Environmentalism, Racism, LGBTQ, Candidates, White Supremacy, Conservatism, Liberalism","Screenshots of social media posts by news organizations and public figures. US elections, environmental issues, racial tensions, LGBTQ issues, political candidates, confederate ideas, conservatism and liberalism.",FB internal investigation ahead of the US elections,https://newsroom.fb.com/news/2019/10/removing-more-coordinated-inauthentic-behavior-from-iran-and-russia/
11/06/2019,"UAE, Egypt, Nigeria",Various,,,10/03/2019,"150,000",211,107,"1,400,000",43,100,,87,"70,000","Charles Communications in UAE, MintReach in Nigeria and Flexell in Egypt.","Elections, Yemen, War, UAE, Space, Qatar, Turkey, Iran, Nuclear Deal, Muslim Brotherhood","Elections and candidates, UAE’s activity in Yemen, the first Emirati astronaut, criticism of Qatar, Turkey, and Iran, the Iran nuclear deal, and criticism of the Muslim Brotherhood.",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt/
11/06/2019,Indonesia,West Papua,,,10/03/2019,"300,000",69,42,"410,000",0,0,,34,"120,000",Media firm InsightID,Independence,"West Papua, support and criticism of the independence movement",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt/
11/07/2019,Egypt,"Somalia, Yemen, Saudi Arabia, Sudan, Yemen, Tunisia, Iran, Turkey, Lebanon, Qatar",,,10/03/2019,"31,000",163,51,"5,600,000",33,"3,000",,4,"3,000",Newspaper El Fagr,"UAE, Saudi Arabia, Egypt, Yemen, War, Qatar, Turkey, Iran","Domestic news and political topics including content in support of the United Arab Emirates, Saudi Arabia, and Egypt, criticism of Qatar, Iran, and Turkey, and Yemen’s southern separatist movement",FB internal investigation,https://newsroom.fb.com/news/2019/10/removing-coordinated-inauthentic-behavior-in-uae-nigeria-indonesia-and-egypt/
11/07/2019,Spain,Spain,,,09/20/2019,"1,275",65,0,0,0,0,,35,"5,000",,"Elections, Opposition","Local and national political news and issues including topics like elections, the Partido Popular Party and criticism of its political opponents.",Twitter,https://newsroom.fb.com/news/2019/09/removing-coordinated-inauthentic-behavior-in-spain/
11/07/2019,Iraq,Iraq,,,09/16/2019,"1,600",76,120,"1,600,000",1,"339,000",2,7,"2,000",,"Religion, Public Figures, Iraq, Iran, USA, Military, Kurdistan","Domestic political and societal issues such as religion, various public figures including Saddam Hussein, the state of the military under the Saddam rule, tensions with Iran, the US military action in Iraq, Iranian-backed militia operating in Iraq and Kurdish-Iraqi politics",FB internal investigation,https://newsroom.fb.com/news/2019/09/removing-coordinated-inauthentic-behavior-from-iraq-and-ukraine/
11/07/2019,Ukraine,Ukraine,,,09/16/2019,"1,600,000",168,149,"4,200,000",79,"401,000",,0,,,"Celebrities, Show Business, Sports, News, Elections, Public Figures ","Celebrities, show business, sports, local and international news, political and economic issues including Ukrainian elections, political candidates and criticism of various public figures.",FB internal investigation,https://newsroom.fb.com/news/2019/09/removing-coordinated-inauthentic-behavior-from-iraq-and-ukraine/
11/10/2019,Myanmar,Myanmar,,,08/21/2019,"1,200",89,107,"900,000",15,"67,000",,5,400,Myanmar military,"Crime, Racism, Celebrities, Military","National and local topics, including crime, ethnic relations, celebrities, and the military",FB internal investigation,https://newsroom.fb.com/news/2019/08/more-cib-myanmar/
11/07/2019,China,Hong Kong,,,08/19/2019,,5,7,"15,500",3,"2,200",,,,"Chinese gvt ","Hong Kong, Protests",Protests in Hong Kong,Twitter,https://about.fb.com/news/2019/08/removing-cib-china/
