hashtags,count
news,247563
sports,99152
politics,77552
СПб,65248
новости,62742
local,54701
Россия,35877
РусскийДух,29508
world,29322
business,27151
НевскиеНовости,24876
Chicago,23814
MAGA,23681
health,22366
ПровокацияКиева,22349
КиевСбилБоинг,22116
КиевСкажиПравду,21996
Украина,20743
love,18719
breaking,17890
USA,17857
TopNews,16558
ОбразРоссии,14899
BlackLivesMatter,14556
true,13890
Texas,13158
кино,12522
авто,12475
NewYork,12278
tcot,11779
Fukushima2015,11747
спорт,11545
Путин,11217
Foke,11173
quote,11141
showbiz,11132
ВернитеКалифорнию,11024
tech,10798
БитваОлигархов,10015
музыка,9674
спб,9599
entertainment,9474
FukushimaAgain,9343
PJNET,8771
crime,8762
rap,8687
SanJose,8445
политика,8416
ЗеленскийБеги,8214
РФ,8184
Футбол,7898
США,7851
АмериканскаяЧума,7806
СекторБезГаза,7468
AmericaFirst,7062
культура,6484
ISIS,6371
Пластмассовыйвек,6318
Trump,6300
ColumbianChemicals,6288
Крым,6090
Cleveland,5999
money,5939
America,5915
environment,5857
LavrovBeStrong,5521
games,5476
NowPlaying,5342
SanDiego,5039
baseball,5022
life,5006
Nukraine,5004
СоюзникиРоссии,4926
противсанкций,4884
StLouis,4863
imho,4800
россия,4616
RT,4599
WakeUpAmerica,4461
celebs,4403
ARRESTObama,4392
FAKENEWS,4359
TurkeyAggressor,4352
НетПровокациям,4180
Chernobyl2015,4143
science,4142
Ульяновск,4137
КискаИзВладика,4121
StopTANK,4063
МОЖАЙСКАЯвАктивномПоиске,3967
IslamKills,3927
2A,3834
MakeAmericaGreatAgain,3794
ToDoListBeforeChristmas,3785
Syria,3748
Иркутск,3737
ObamaGate,3721
РоссияЧМ2018,3626
Зенит,3602
LA,3529
Baltimore,3528
ЕС,3470
BlackTwitter,3452
TCOT,3368
ThingsYouCantIgnore,3367
НижнийНовгород,3360
Сирия,3330
MariaMozhaiskayHappyNY,3330
KochFarms,3323
RAP,3307
music,3277
ЗахарчукНевиновен,3272
SurvivalGuideToThanksgiving,3252
Obama,3247
Потрошенко,3233
BuildTheWall,3212
hockey,3212
News,3169
MaterialEvidence,3156
quotes,3154
MustBeBanned,3143
МойДеньПобеды,3117
GOPDebate,3107
داعش,3088
Красавицы,3087
MadeInRussia,3057
ОбамаХромаяУтка,3027
IHatePokemonGoBecause,3027
КрымПутьНаРодину,3000
ccot,2986
РетвитПротивОбамы,2971
IGetDepressedWhen,2950
Омск,2939
2016In4Words,2895
سوريا,2884
бомбит,2827
IStartCryingWhen,2790
НеДорожеСоткиПокаАТамПосмотрим,2784
Merkel,2768
AlternativeAcronymInterpretations,2742
TrumpTrain,2701
РусскийКовчег,2664
phosphorusdisaster,2663
Челябинск,2660
ДНР,2637
Москва,2622
US,2619
выставки,2574
GiftIdeasForPoliticians,2541
Russia,2536
ValentinesDayIn3Words,2524
ЧеловекМешающийОбществу,2490
Turkey,2486
DontTellAnyoneBut,2456
ЕАЭС,2441
iHQ,2430
SomeoneWhoKillsChildren,2412
PoliceBrutality,2393
RejectedDebateTopics,2391
Trump2016,2381
Breaking,2360
Sports,2345
pjnet,2326
ToAvoidWorkI,2320
ToFeelBetterI,2304
Питер,2283
EAEC,2279
ObamaNextJob,2272
STOPNazi,2252
p2,2247
MyOlympicSportWouldBe,2235
МЫЗАХВАТИММИР,2231
art,2223
IHaveADream,2223
ирак,2221
Wisconsin,2218
зачистыевыборы,2216
ObamasWishList,2216
ОкейЕдинорог,2212
ThingsThatShouldBeCensored,2197
ИнтерполяцияЯроша,2196
Atlanta,2187
НашаСибирь,2178
ChristmasAftermath,2162
BetterAlternativeToDebates,2161
SusanRice,2132
333деньГода,2121
DeadHorse,2114
Maryland,2098
7K9268,2094
Vault7,2058
BLM,2051
noticias,2051
IS,2045
TrumpForPresident,2045
ChildrenThinkThat,2033
ТакДумаю,2033
ThingsMoreTrustedThanHillary,2015
CCOT,2000
MyEmmyNominationWouldBe,1999
ВСУ,1993
Brussels,1992
BlackSkinIsNotACrime,1981
БунтвСША,1975
