hashtags,count
Iran,11481
Trump,8480
Israel,6736
السعودية,6571
Yemen,5376
FreePalestine,5066
QudsDay4Return,4567
US,4550
realiran,4057
ISIS,4044
DeleteIsrael,3814
Palestine,3719
Syria,3483
Saudi,3284
EEUU,3248
Gaza,3144
SaudiArabia,2949
Iuvm,2892
InternationalQudsDay2018,2815
Realiran,2701
News,2630
IranTalks,2571
QudsDay2018,2519
Press,2497
SavePalestine,2448
IuvmPress,2442
BDS,2413
Article,2352
Iuvmorg,2326
IuvmNews,2299
اليمن,2238
القدس_عاصمة_فلسطين_الأبدية,2204
NuclearTalks,2091
Tehran,2017
Hollande,1993
USA,1943
Daesh,1920
Rohingya,1885
Siria,1798
SaveYemen,1727
IranDeal,1724
سوريا,1693
Islam,1692
المسيرة_عاجل,1663
داعش,1647
Palestinian,1642
Israeli,1639
SaveRohingya,1612
FromMasjidAlHaram,1586
روحانی,1558
Macron,1558
العراق,1550
science,1516
Russia,1503
Q4T,1467
Iraq,1450
Canada,1444
البحرين,1379
blackhouse,1373
blackhouse_info,1373
ليبيا_المختار,1347
فلسطين,1343
Top,1336
ImpeachTrump,1322
France,1321
فساد_سلمان_بن_عبدالعزيز,1293
Genocide,1287
Muslim,1274
كاريكاتير,1270
Venezuela,1252
RohingyaMuslims,1239
حلب,1226
قطر,1213
JordanNews,1207
Obama,1197
Benalla,1172
يوم_القدس_مسيرة_العودة,1158
JerusalemIsTheEternalCapitalOfPalestine,1138
من_المسجد_الحرام,1136
ترامب,1128
QudsDay,1106
AhlulBayt,1097
ألف_يوم_من_العدوان,1083
Bahrain,1081
Zarif,1067
ForgottenQuran,1046
Quds,1045
UK,1044
Netanyahu,1036
BREAKING,1025
القران_المهجور,1000
المختار,979
Muslims,967
Science,964
México,961
Rusia,958
DonaldTrump,956
دمشق,956
trump,954
نهايات_تفشل1,950
NotMyPresident,943
القدس,915
America,911
MyanmarGenocide,907
China,904
الحرب_الفاشله,832
Putin,816
Syria4Syrians,801
palestine,801
США,795
PalestineMustBeFree,792
Resist,790
LetUsAllUnite,788
jordantimes,781
ليبيا,777
قاوم_اونلاين,773
Qatar,769
MemorialDay,763
Palestinians,762
Westworld,749
Islamophobia,748
Politics,744
WeRemember,738
mediawatch,736
Iranian,733
WYFFNews4,728
QudsDay2017,721
TuesdayThoughts,716
Mexico,715
Irak,714
EU,714
SundayMorning,710
LivePD,710
Palestina,701
CIA,699
Israël,696
Irán,693
UN,688
TheBachelor,685
SaudiaArabia,682
ArabiaSaudita,681
Jerusalem,679
Maduro,676
سوریه,676
Turkey,675
Washington,667
AntiTrump,662
الجيش_السوري,659
Syrie,658
عاجل,657
ONU,656
IFinallySnappedWhen,649
UAE,643
السعودیة,643
Myanmar,639
الإمارات,626
FreeAhedTamimi,623
ArabiaSaudí,615
PalestinaLibre,612
israel,611
GreatReturnMarch,605
JCPOA,603
تركيا,603
Argentina,602
سورية,600
برجام,599
إسرائيل,598
ايران,594
الحدث24,592
ایران,592
Pakistan,585
notmypresident,584
terrorism,580
IranTalksVienna,578
WednesdayWisdom,573
Afghanistan,569
1000FatalDay,566
Clinton,566
MondayMotivation,566
FelizDomingo,565
Erdogan,562
StopTheWarOnYemen,560
مصر,552
NorthKorea,550
Hajj,544
إيران,543
بن_سلمان_يجوع_اليمن,538
art,536
Resistance,534
FelizMartes,531
روسيا,530
حمص,529
HumanRights,529
اسرائيل,511
MyDatingProfileSays,511
DerechosHumanos,510
محمد_بن_سلمان,509
press,509
جهانگیری,500
CMin,500
American,500
لبنان,498
nature,492
RealIran,491
gaza,490
impeachtrump,487
Canadá,486
غزة,483
الرياض,481
MBCTheVoice,474
WorldCup,469
FreeGaza,469
Turquía,469
SelamatDatangDiTwitter,468
MAGA,460
QudsCapitalOfPalestine,459
العوامية,457
GazaUnderAttack,456
1000DaysOfWarOnYemen,456
V,452
SaturdayMorning,450
