hashtags,count
pakonlinenews,24235
Palestine,18241
Iran,14289
SachTimes,14246
Israel,14202
DeleteIsrael,13421
Gaza,13056
السعودية,11105
art,10869
FreePalestine,10580
nature,9160
science,8825
senpaiBot,8686
النجم_الثاقب,8149
BREAKING,7670
پیام_حسین,7663
Syria,7249
Yemen,7220
اليمن,7158
روحانی,7108
Trump,7011
mukminindonesia,6747
WhyISupportIK,6679
الرأي_التونسي,6593
QudsDay4Return,6268
news,6196
photography,6050
sky,6043
syiah,5957
LetKashmirBeFree,5909
BDS,5833
نواز_کا_نظریہ_کرپشن,5765
HusainForJustice,5760
Palestinian,5621
QudsCapitalOfPalestine,5574
QudsDay,5506
ناکام_نواز_حکومت,5492
PakistanWillRiseAgain,5463
TeachingsOfNabiSAW,5447
Science,5390
LetsEducatePakistan,5143
تونس,5140
LetsFightTerrorism,5066
SaveRohingya,5048
الجزائر,4937
ISIS,4902
NoDAPL,4809
Pakistan,4740
BreakHasr,4686
قاتل_پنجاب_حکومت,4652
کرپشن_فری_پاکستان,4615
PhotographyIsArt,4541
BringLootedMoneyBack,4516
StandUpForTeamGreen,4468
KPKLovesPTI,4464
MuslimsAreUnited,4444
NoMoreYellowJournalism,4318
BeABetterMuslim,4311
BlessedFriday,4260
beritaislam,4256
Israeli,4254
چهارسال_جنایت,4243
MuslimsRejectTrump,4233
Saudi,4228
IslamDignifiesWomen,4202
الحرب_الفاشله,4182
AhlulBayt,4155
StopTheWarOnYemen,4140
PMLNGoonsAttackSC,4112
MyPeacefulPakistan,4006
FreeSindhFromPPP,4006
مصر,3964
رئیسی,3962
yaman,3891
ZionismAgainstHumanity,3891
سرخرو_ہوا_کپتان_ہمارا,3865
ہمارا_نیا_پختونخوا,3799
WellDoneDrYasmin,3798
LongLivePakFauj,3793
ایک_بار,3789
NoMoreSympathyVotes,3756
نااہل_وفاقی_کابینہ,3729
egypt,3706
US,3702
animals,3691
travel,3670
USFatherOfTerrorism,3628
ArrestTraitorNawaz,3622
UnitedWeRise,3603
SayyidAli,3583
نهايات_تفشل1,3574
NationLovesPakArmy,3572
مجھے_کیوں_رلایا,3535
Earth,3519
photo,3517
داعش,3485
BJP,3345
PunishChildMolesters,3312
PuppetLNGPM,3301
تا١٤٠٠باروحاني,3238
LetsRebuildPakistan,3232
PalestineNotForSale,3225
بےمثال_کپتان_ہمارا,3193
Kashmir,3146
تکرارمیکنیم,3128
Rohingya,3110
دولت۱۰۰درصدی,3067
RohingyaMuslims,3055
BeautifulPakistan,3054
Al_Quran,3047
نااہل_کا_نظریہ,3005
AttentionForMyanmar,2979
PakNeedsElectoralReforms,2974
سلام_شہدائے_وطن,2950
PTI,2915
USA,2908
قاليباف,2900
PakArmyRevivesPeace,2898
به_عقب_بازنمیگردیم,2888
DutyBeingAPakistani,2880
ForgottenQuran,2874
Jerusalem,2848
فساد_سلمان_بن_عبدالعزيز,2825
India,2824
مناظره,2797
WeAllAreImranKhan,2790
FoundationDayISF,2756
KhanWillUniteMuslims,2751
نون_لیگ_مافیا,2749
PrideOfNationSC,2729
العراق,2711
IslamReligionOfPeace,2696
strongestiran,2681
چورپارٹی_مجرم_صدر,2669
القران_المهجور,2666
StayStrongJKT,2658
AdyalaAwaitsNawaz,2650
earth,2649
وزیراعظم_عمران_خان,2624
ARYStandsWithTruth,2621
wildlife,2581
2018ImranKa,2574
Christmas,2545
Palestinians,2525
MaryamDonationChor,2524
BreakingNews,2524
فریب_نمیخوریم,2511
DownWithUSA,2459
VoteForYasminRashid,2458
ہمارا_خوشحال_بلوچستان,2452
القدس_عاصمة_فلسطين_الأبدية,2431
دور_نہیں_قائد_کا_پاک,2429
کرپشن_سے_پاک_پاکستان,2429
MomentsOf2017,2423
کشمیر_کو_آزاد_کرو,2421
ضیاء_کا_لاڈلا_نواز,2420
فلسطين,2412
PakArmyRebuildingPeace,2410
اسحاق,2406
News,2395
SaudiArabia,2392
Breaking,2388
سوريا,2378
Iraq,2376
میرا_سچا_کپتان,2342
NoPollsWithoutReforms,2318
SaveYemen,2283
SaveRohingyaMuslims,2283
برجام,2283
GamesSeruKartini,2283
PakistanIsMyLove,2281
ImranKhanOurPride,2280
ReleaseVolume10,2277
وزیراعظم_استعفیٰ_دو,2271
ImranVsAll,2256
نواز_صرف_چور,2253
يوم_القدس_مسيرة_العودة,2249
PoliceNeedsReforms,2248
افغانستان,2243
70YearsOfExcellence,2237
Russia,2235
PS114ForPTI,2228
عدلیہ_تیرا_شکریہ,2223
FifthFebADayOfKashmir,2212
مک_مکا_ترمیم_نامنظور,2207
Art,2199
DarGrilledByJIT,2185
YeHaiNayaKPK,2179
پانامہ_سے_اقامہ,2175
palestine,2174
JazbaEAzaadi,2164
نا_اہل_کا_جنازہ,2143
یمن,2142
نااہل_پنجاب_حکومت,2140
Nature,2139
Aleppo,2132
NoMoreCorruption,2120
HBDKaptaan,2114
ThankYouWorldEleven,2107
GoShahbazGo,2099
Bahrain,2095
LNG_عباسی_نامنظور,2094
جهانگیری,2088
KashmirDeservesFreedom,2075
beritadunia,2072
NawazScaredOfNAB,2060
میں_اِن_کو_رُلاؤں_گا,2054
DacoitSharifFamily,2041
gaza,2037
GazaUnderAttack,2024
خان_نے_کیسا_رلایا,2021
شہادت_امام_جواد,2021
WhyITrustKaptaan,2010
PMLN,1979
GeoNoonFlopShow,1978
IslamMainHai,1976
PMLNHijacks62and63,1961
YemenBleeds,1957
