hashtags,count
ReleaseTheMemo,37569
MAGA,37414
IslamIsTheProblem,18226
StopImportingIslam,15163
BanShariaLaw,15027
AmericaFirst,11614
QAnon,11575
tcot,11473
BanIslam,10460
WakeUpAmerica,10085
Trump2016,8968
Islam,8812
Trump,8305
MakeAmericaGreatAgain,7907
EducateYourselfOnIslam,7802
TrumpTrain,6962
BanTheQuran,6961
StopMakingExcusesForIslam,6850
ISIS,6704
BuildTheWall,5775
BanCAIRNational,5576
DrainTheSwamp,5030
STOPIslam,4977
SchumerShutdown,4971
ObamaGate,4765
PJNET,4646
CloseALLMosquesNOW,4501
ARRESTObama,4419
FAKENEWS,4374
BanTheBurka,4185
StopIslam,4163
NeverHillary,4124
obamaistheworstpresidentever,4058
CrookedHillary,4049
Obama,3977
2A,3495
DeepState,3427
Qanon,3378
FollowTheWhiteRabbit,3069
InsideSyriaMC,3031
Syria,3017
HillaryClinton,2969
NoDACA,2914
BlackLivesMatter,2908
KAG,2890
IslamIsPureEvil,2830
USA,2750
BanCAIR,2706
авто,2693
BanIslamInAmerica,2654
islamistheproblem,2581
IslamIsEvil,2576
FakeNews,2532
DeathCult,2527
ObamaLegacy,2434
ExposeIslam,2418
NoAmnesty,2404
ccot,2390
CloseALLMosques,2380
maga,2370
Muslims,2334
SayNoToIslam,2330
RealWarOnWomen,2323
TCOT,2312
GOPDebate,2298
RedNationRising,2239
ImpeachObama,2179
BanTheQuranAsAHATEBOOK,2178
WakeUpWorld,2169
TRUMP,2142
pjnet,2136
IslamExposed,2112
BanTheMuslimBrotherhood,2108
Vault7,2058
RT,2048
BREAKING,2048
SusanRice,2041
GreatAwakening,1966
Hillary,1947
VoteGOP,1944
WeThePeople,1921
LockHerUp,1872
IslamicState,1861
Benghazi,1856
MuslimBan,1833
EnoughIsEnough,1777
ANTIFA,1757
islamisevil,1704
Wiretap,1692
NoMoreMoslemRefugees,1680
DontGetFooledAgain,1680
ThisIsIslam,1611
qanon,1611
CAIR,1602
FireRyan,1593
news,1570
Schumer,1541
DonaldTrump,1515
SchumerDACAShutdown,1513
SchumerSellout,1502
SchumerSurrender,1501
AlwaysTrump,1458
KeepBannon,1449
moslemsaretheproblem,1449
Ferguson,1447
PresidentTrump,1401
2ndAmendment,1386
France,1383
StopImportingJihad,1379
MarchAgainstSharia,1343
TrumpPence16,1337
