domains,count
twitter.com,345
vilaweb.cat,195
ara.cat,165
naciodigital.cat,151
esquerrabcn.cat,122
elvapor.net,112
elnacional.cat,107
directe.cat,97
ow.ly,75
bit.ly,68
elpuntavui.cat,59
goo.gl,43
elmon.cat,31
eldiario.es,26
lavanguardia.com,19
larepublica.cat,18
publico.es,18
directa.cat,17
elcritic.cat,16
elperiodico.com,15
elpais.com,14
youtube.com,14
youtu.be,12
lloguers.barcelona,11
elperiodico.cat,11
esquerra.cat,10
ccma.cat,9
mon.cat,7
elconfidencial.com,7
elvapor.cat,6
dlvr.it,6
salvemeltramviablau.cat,6
aldia.cat,6
elperiodi.co,5
elmundo.es,5
europapress.es,5
facebook.com,5
okdiario.com,5
blogspot.com,5
fotlipou.com,4
catalunyalliure.cat,4
change.org,4
blogspot.com.es,4
bcn.cat,3
republicat.cat,3
rac1.cat,3
google.es,3
atresplayer.com,2
pscp.tv,2
politico.eu,2
pahbarcelona.org,2
irla.cat,2
assemblea.cat,2
antena3.com,2
elespanol.com,2
abc.es,2
beteve.cat,2
el3.cat,2
telegram.me,2
dibuixem.barcelona,2
bosch.barcelona,2
eltemps.cat,2
catzona.com,2
casadelarepublica.org,2
theguardian.com,2
diaridegirona.cat,2
tv3.video,1
owl.li,1
uwhisp.com,1
nytimes.com,1
ppcatalunya.com,1
xarxafeminista.org,1
wordpress.com,1
tv3.cat,1
unilateral.cat,1
whatsapp.com,1
webdelsi.cat,1
racocatala.cat,1
revistavanityfair.es,1
salvadorsostres.com,1
sindic.cat,1
social.cat,1
spectator.co.uk,1
wikipedia.org,1
t.me,1
til.la,1
9nsomtots.cat,1
nyti.ms,1
cridanacionalerc.cat,1
elmundotoday.com,1
elllobregat.com,1
economiadigital.es,1
dom.cat,1
diaritreball.cat,1
diario16.com,1
cincodias.com,1
expansion.com,1
cepr.org,1
btv.cat,1
atres.red,1
apoderats.cat,1
apel.la,1
anemamil.cat,1
esquerra.net,1
freejunqueras.org,1
mundodeportivo.com,1
lamarea.com,1
moviment.barcelona,1
metropoliabierta.com,1
medium.com,1
maragall2019.barcelona,1
ledevoir.com,1
lasexta.com,1
kcy.me,1
goteo.cc,1
junqueras.cat,1
jordigraupera.cat,1
jerc.cat,1
instagram.com,1
insideairbnb.com,1
huffpost.com,1
zerkalo-imperator.com,1
