hashtags,count
pleBCN,104
21D,83
FemXarxa,72
17DebatL6,58
Parlament,51
VagaMetro,45
Salvados21D,40
RoviraTV3,34
ComissionsBCN,27
TramviaBlau,27
referèndum,27
Barcelona,26
DebatTV3,25
BuchDimissio,24
1O,21
ZASCA,16
DebatBàsics,15
LlibertatPresosPolítics,15
labcnquevolem,15
1O2017,14
NovaPolítica,14
RecuperemBCN,13
president,13
DonesAmbTotsElsDrets,13
plebcn,12
opinióND,11
Govern,11
conseller,11
entrevistabus,11
BCN,10
vicepresident,9
LaManada,9
República,9
vagadefam,9
LlibertatJordis,9
femrepública,9
24M,9
17A,8
Referèndum,8
MWC2018,8
RepublicaDigna,8
1demaig,8
DebatBCN324,8
EnTempsRealEPA,7
8demarç,7
CatalanReferendum,7
CiudadanosMiente,7
Sabadell,7
DuelCracTV3,7
CridaDemocràcia,7
1Octubre,7
ElCracTV3,7
FAQSPuzleTV3,6
ÚLTIMAHORA,6
pledemocràcia,6
PEUAT,6
RufianVsAznar,6
SantJordi,6
1oct,6
RepúblicaCatalana,5
GovernDelsAnuncis,5
BuchDimissió,5
StopDesahucios,5
ÚltimaHora,5
LaDiadaDelSí,5
llautó,5
turismofobia,5
VP,5
PortadaTerribas,5
PressingERC,5
9N,5
8MJoFaigVaga,5
9Nsomtots,5
MWC,4
SOSCiutatVella15S,4
VotoRepública,4
26J,4
JugadaMestra,4
FakeColau,4
BarcelonaADebat,4
Barcelona92,4
L6cCuentoDeAda,4
Badalona,4
20S,4
govern,4
DesnonamentClot,4
consellera,4
1Oct,4
37dies,4
TorraDimissió,4
SiSePuede,4
DebatJoveBCN,4
FAQSbacallàTV3,4
11Oct,4
OnSonLesDones,3
11S,3
DPG,3
OmplimSantJaume,3
MásManadaAR,3
DebatBCN,3
fracassADA,3
EndavantRepública,3
ObjetivoTorrent,3
1o,3
CarlesPuigdemont,3
Tortosa,3
NiUnPasEnrere,3
TanquemElCIE,3
LaLlibertatNoEsJutja,3
narcos,3
narcopisos,3
Ejido,3
madison,3
TalDiaComAvui,3
habitatgeBCN,3
DebateRTVE,3
AlcaldessaRespon,3
PellDeGallina,3
VentiladorFirstDates,3
VOXilegalización,3
BCNNoFunciona,3
FreeJunqueras,3
Independència,3
pressupostos,3
PrimàriesRespon,3
pressupostos2017,3
BodegaRepublicana,3
MWC18,3
PrimariesPDeCATBCN,3
Bondia,3
StopDesnonaments,3
presidentMas,3
FirstDates,2
Franco,2
DiadaBaix2018,2
DiadelaPau,2
FrauColau,2
