domains,count
twitter.com,15139
youtube.com,5441
jamnews.ir,4424
bit.ly,4061
t.me,736
youtu.be,506
aawsat.com,435
telegram.me,404
facebook.com,378
presstv.com,298
instagram.com,252
goo.gl,246
fb.me,244
ptv.io,242
ow.ly,226
soundcloud.com,199
theguardian.com,160
pscp.tv,159
google.com,149
bbc.com,120
independent.co.uk,112
bbc.in,106
jamnews.com,100
fllwrs.com,84
rt.com,74
farsnews.com,73
bbc.co.uk,71
reut.rs,70
nytimes.com,69
buff.ly,67
alarabpost.com,67
tasnimnews.com,66
aljazeera.com,64
dlvr.it,64
ara.tv,62
unfollowspy.com,57
cnn.it,57
telegraph.co.uk,50
khamenei.ir,46
aparat.com,46
cnn.com,44
bloom.bg,43
aje.io,43
alalam.ir,42
isna.ir,40
southlebanon.org,39
reuters.com,38
radiozamaneh.com,37
wapo.st,36
radiofarda.com,33
mirror.co.uk,32
iranwire.com,31
washingtonpost.com,31
yjc.ir,30
standard.co.uk,30
haaretz.com,29
wikipedia.org,29
arabnews.com,28
twimg.com,28
hrw.org,27
yon.ir,26
tn.ai,26
bloomberg.com,25
alkhaleejaffairs.org,25
timesofisrael.com,25
trib.al,24
radiorestart.com,24
ahrarulhijaz.com,24
thesun.co.uk,23
fna.ir,23
voanews.com,23
mehrnews.com,23
abna24.com,23
mojahedin.org,21
dw.com,21
blogspot.com,21
wsj.com,20
metro.co.uk,20
balatarin.com,19
middleeastmonitor.com,19
mnc24.com,19
dailymail.co.uk,18
chn.ge,18
sputniknews.com,18
ift.tt,18
nyti.ms,18
express.co.uk,17
dw.de,17
limaohio.com,17
howiyapress.com,17
shar.es,16
watanserb.com,16
digarban.com,16
hambastegimeli.com,16
vox.com,16
cnb.cx,15
cs.pn,15
tabnak.ir,15
ft.com,15
tribunezamaneh.com,15
alarabiya.net,15
shr.gs,14
youm7.com,14
washingtoninstitute.org,14
hashemirafsanjani.ir,14
thenewkhalij.com,14
khabaronline.ir,14
raialyoum.com,14
tinyurl.com,13
alqabas.com.kw,13
thetimes.co.uk,13
arabi21.com,13
thehill.com,13
forbes.com,13
khodnevis.org,13
mdn.tv,13
alhayat.com,13
sharghdaily.ir,12
euronews.com,12
mashreghnews.ir,12
ilna.ir,12
aljazeera.net,12
mihanblog.com,12
middleeasteye.net,12
dld.bz,12
damavand.news,12
islamicwna.com,12
entekhab.ir,11
shafaqna.com,11
theatlantic.com,11
amerikaninsesi.com,11
asriran.com,11
du3a.org,11
inews.co.uk,11
kayhan.london,11
dailym.ai,11
westmonster.com,11
nasimonline.ir,11
sky.com,11
republic.org.uk,11
huffingtonpost.co.uk,10
businessinsider.com,10
shaharah.net,10
cnbc.com,10
usatoday.com,10
nbcnews.com,10
vk.cc,10
598.ir,10
fxn.ws,10
onlyfans.com,9
manoto1.com,9
change.org,9
presstv.ir,9
ndtv.com,9
radiopasto.com,9
radiojavan.com,9
digiato.com,9
unicef.org,9
agendaofevil.com,9
kaleme.com,9
politi.co,8
twibbon.com,8
politico.com,8
rahesabz.net,8
nilenetonline.com,8
thenational.ae,8
irna.ir,8
itv.com,8
natgeo.com,8
stopwar.org.uk,8
alef.ir,8
wp.me,8
sabq.org,8
gooya.com,8
msnbc.com,8
dgto.ir,8
parliament.uk,8
jamejamonline.ir,7
unhcr.org,7
j.mp,7
khaleejtimes.com,7
wordpress.com,7
po.st,7
wef.ch,7
asrararabiya.com,7
amnesty.org,7
ampproject.org,7
skynewsarabia.com,7
inoreader.com,7
ti.me,7
msn.com,7
sumall.com,7
farahpahlavi.org,7
tl.gd,7
yahoo.com,7
ecoti.in,7
cbsnews.com,7
roozonline.com,7
alquds.co.uk,7
trtworld.com,6
marlalivengood.com,6
mcaf.ee,6
yemenpress.org,6
aja.me,6
listenpersian.net,6
time.com,6
latimes.com,6
mizanonline.ir,6
medium.com,6
vine.co,6
zendegiinjast.ir,6
zeitoons.com,6
huffingtonpost.com,6
stormystore.com,6
alwatan.com.sa,6
taghato.net,6
aml.ink,6
news18.com,6
f24.my,6
iransong.com,6
tribune.com.pk,6
newsweek.com,6
jpost.com,6
du3aa.net,6
jahannews.com,6
bayanmedia.net,6
ynet.co.il,6
econ.st,5
1o2.ir,5
spa.gov.sa,5
hill.cm,5
toi.in,5
ln.is,5
huff.to,5
cell.com,5
smh.com.au,5
3alyoum.com,5
eaworldview.com,5
getemoji.com,5
jamaran.ir,5
times-news.com,5
theneweuropean.co.uk,5
craigmurray.org.uk,5
reuters.tv,5
shahrekhabar.com,5
ynetnews.com,5
indiatimes.com,5
l1l.ir,5
tweepsmap.com,5
bidarbash.net,5
baytownsun.com,5
qurani.tv,5
twasul.info,5
alqabas.com,5
mapnews.com,5
washingtonexaminer.com,5
alriyadh.com,5
nationalinterest.org,5
n.pr,5
vatanemrooz.ir,5
vajehyab.com,5
rajanews.com,5
al-muthaqaf.net,5
o9.net,4
un.org,4
dailyrecord.co.uk,4
sahamnews.org,4
kayhan.ir,4
aa.com.tr,4
farhangnews.ir,4
apnews.com,4
musicema.com,4
mepanorama.net,4
ajc.com,4
thenational.scot,4
kitabat.info,4
alghadeer.tv,4
nurizad.info,4
shahvar.net,4
newyorker.com,4
mktw.net,4
vice.com,4
irishtimes.com,4
addiyar.com,4
axios.com,4
thedailystar.net,4
