hashtags,count
ایران,2364
PressPlus,1581
روحانی,1548
Yemen,1513
SaudiArabia,1399
Iran,1279
بي_بي_سي_ترندينغ,1012
برجام,954
BreakingNews,927
Saudi,921
BREAKING,915
فلاحتی,865
positivity,851
Brexit,791
Trump,770
داعش,770
السعودية,751
براندازم,712
TheIsle,704
آمریکا,698
اسرائیل,685
اليمن,650
منوتو,616
ترامپ,604
ايران,537
رئیسی,534
الله_اکبر,525
كأس_العالم_في_اليمن,524
عربستان,522
لبنان_بدا_سعد,493
UK,492
مرگ_بر_آمریکا,486
FreePalestine,476
دلارتقلبی,472
كلنا_بدنا_سعد,461
Syria,453
Israel,441
العربية,430
ترندينغ,422
سوریه,421
UnderReported,419
رشتو,405
Khashoggi,400
فرقه_تبهکار,399
عشق,398
فرشگرد,396
عادل_روسیاه,391
عدوتنا_BBC,388
ری_استارت,377
جريدة_الشرق_الاوسط,375
سپاه,357
بي_بي_سي,357
مرايا,356
US,352
حرق_فاتوره_الكهرباء,351
حقيقة_إقالة_عادل_الجبير,345
آمدنیوز,342
ریتوییت,340
لن_نسدد_فاتوره_الكهرباء,328
TuesdayThoughts,328
مناظره,326
ظریف,321
دلار,319
تهران,314
السعود_قتلة_الحجیج,314
روحاني,309
کتابة_الجدران,302
احمدی_نژاد,300
یمن,295
محمد_بن_سلمان,293
سعدی,293
ThursdayThoughts,292
اسرائيل,287
حرق_الفاتورة,282
SaveRohingya,279
IranRegimeChange,278
referendum,274
السعودیة,272
شاهزاده_رضا_پهلوی,271
قالیباف,263
رانيا,263
خاتمی,262
مصر,262
داعش_حجر_بناء_اسرائيل_الكبري,255
فوری,253
حزام_الامان,253
جهاد_نكاح_اسرائيلي,252
آل_سعود,251
Tehran,250
اعتراضات_سراسری,244
اسیر_شدیم,243
قاطع_البضائع_السعودية,241
عراق,238
بن_سلمان,237
ایران_را_پس_میگیریم,236
زندگی,233
مجلس,232
الجدران_الناطقة,231
توافق,230
Gaza,229
سیرک_کارتونی,228
انتخابات,222
همه_برای_فلسطین,222
FridayFeeling,220
عطنا_مقترحك_لتطوير_الطايف,219
محاربة_ابومنشار,218
رسوایی_آمریکا,218
untr_US_table,217
Britain,216
بن_سلمان_طرطور,215
مردم,213
تحریم,211
اربعین,210
جمهوری_اسلامی,210
معا_لدعم_فلسطين,210
راه_حسین,209
پهلوی,207
ImamAli,206
وصال,202
رؤیة_بومنشار_الحشیش,201
SaudiWarOnYemen,201
لیلی_من,200
دختران_خیابان_انقلاب,200
دولت_موقت,200
هاشمی,200
WednesdayWisdom,199
تزين_النفسيه_اذا,196
جهانگیری,193
Palestine,192
قطر,192
سوريا,191
تلگرام,191
فلسطين,186
UAE,184
بند105_ظلمنا_ياولي_العهد,184
روسیه,183
سرقت_علمی,182
SaturdayMorning,181
الشيطان_يرمي_مسلمي_اليمن_بالصواريخ,178
رضا_پهلوی,177
AyatollahBBC,176
MiddleEast,175
British,174
جدی,173
Iraq,172
مسیح_علینژاد,170
آیت_الله_بی_بی_سی,169
الوصال,167
فلسطين_منسیة,166
خوزستان,165
دولت,164
Russia,163
حرق_الفاتورة_الكهرباء,163
ترامب,159
اهواز,159
ري_استارت,157
فاتورة_الكهرباء,157
ربع_پهلوی,157
TheresaMay,156
EU,156
Turkey,156
فاتوره_الكهرباء,156
الهلال_ممثل_الوطن,155
مولانا,155
عادل_فردوسی\u200cپور,154
Israeli,154
شركه_الكهرباء_السعوديه,154
رهبری,153
حقيقة_اغالة_عادل_الجبير,153
القدس_مستقبلنا,153
العراق,150
ShutupTrump,150
آمدنيوز,149
مایه_شرمساری,148
حوريات_اسرائيلية,148
الموصل,148
زلزله,147
دراویش_گنابادی,146
ایران_میتواند,145
iran,142
غزة,141
حافظ,141
الليبراليه_تعني_الالحاد,141
لبنان,141
علبه_الدخان_ب26ريال,141
کاخ_خاتمی,140
الهدنة_تستهدف_ارادة_الشعب_اليمني,140
رژیم_آمریکا,139
ترکیه,139
البحرين,139
leisure,139
فلسطین,138
محرم,138
DownWithUSA,138
FireSetareh,138
پرسپولیس,137
حقوق_نجومی,137
YemenCantWait,137
ترک_آخوندنیوز,136
استقلال,135
حقيقة_اقالة_عادل_الجبير,134
جبار_سینگ,134
طنز_تلخ,133
IRGC,133
KhashoggiMurder,132
السعودي,132
آخوندنیوز,131
طنز_سیاسی,131
YemenGenocide,131
حصر,131
JamalKhashoggi,131
توئیتر,130
USA,129
MotivationalQuotes,128
کودتایBBC,127
مجتهد_کذاب,126
قيادة_المراة,126
PressPlusFactNews,126
سورية,126
تظاهرات_سراسری,125
چالش_دعوت_به_تظاهرات,124
توییتر,124
مریم_رجوی,124
پلاسکو,124
مادر,124
IranDeal,123
زفة_بالمناشیر,123
ریتوئیت,123
JCPOA,122
امريكا,121
Saudis,121
trendind,121
میدان_میلیونی,120
TravelTuesday,120
HumanRights,119
هاشمی_رفسنجانی,118
حزب_الله,118
فلسطين_تجمعنا,118
Deadpool2,118
غزه,118
زن,117
سیل,116
Yemeni,116
آزادی,116
المنشار_المتجول,116
SaturdayMotivation,115
ايران_النووي,114
عبر_عن_رائك,114
نظرشخصی,114
جاوید_شاه,113
London,112
به_سوی_آزادی,112
مناظره_زنده,112
محمد_صلاح,112
BeKind,112
چهارشنبه_های_سفید,111
WorldCup,110
بی_بی_سی,110
اعتصاب_سراسری,110
دولة_الموحدة,110
myfirstTweet,109
حقوق_بشر,109
اللهم_عجل_لولیک_الفرج,109
مسعود_بهنود,109
نتانیاهو,108
عادل_الجبير,108
إيران,108
فوري,108
بی\u200cبی\u200cسی,107
حسن_روحانی,107
خیانت_پهلوی,107
فلسطين_التغطية_مستمرة,106
السعودیة_العظمی,106
الدب_حشّیش,106
بسيج,105
پهلوي,105
Afghanistan,105
آخوندی,105
خدا,104
سلفی_حقارت,104
دولة_موحدة,104
منا,104
ال_سعود_رعاة_الارهاب,104
محمد_بن_سلمان_حشیش,103
قاسم_سلیمانی,103
حجاب,102
رضاشاه,102
MBS,101
StopArmingSaudi,101
سیدمحمدحسینی,101
تظاهرات,100
القدس_لنا,99
غدیر,99
صفا,98
دروغ,98
ژن_خوب,98
اللهم_عجل_لوليك_الفرج,98
فرحتنا_ناقصها,98
يمن_المظلوم,97
القدس_عاصمة_فلسطين_الأبدية,97
معركة_حلب,97
سيرک_کارتوني,97
محمدرضاگلزار,96
YemenUnderAttack,96
SundayFunday,96
محمدرضا_گلزار,96
كاس_العالم_حيوحشنا_,95
آیت\u200cالله_بی\u200cبی\u200cسی,95
UnReported,95
بامن_شعربخوان,94
گلزار,94
Qatar,93
شعر,93
شاهزاده,93
سعودی,92
فاخوری,92
shutupTrump,92
Bahrain,91
روحانی_برو,91
إسرائيل,91
نازنین_زاغری,90
شکرا_للعراق,90
تورقوزآباد,89
persiangulf,89
PeacewithIran,89
ISIS,89
القدس,89
