hashtags,count
قطريليكس,36319
قطر,23294
الدوحة_المفضوحة,13553
الدوحة,11597
عثمانلي,10247
قطر_تنتحر,9282
الإمارات,8873
تميم,7830
قطر_تمول_الإرهاب,7480
كفى_يا_قطر,6838
الحمدين,5955
تميم_العار,5949
QatariLeaks,5786
Qatar,5708
تركيا,5452
السعودية,4927
قطر_عراب_الفوضى,4902
تميم_يستنزف_قطر,4824
تنظيم_الحمدين,4392
إردوغان,4237
أبوظبي,3856
دبي,3741
إيران,3359
ليبيا,3275
الإرهاب,2930
اليمن,2899
قطر_تدعم_الإرهاب,2859
قطر_تغدر_بالعرب,2858
Doha,2808
مصر,2753
سوريا,2679
السودان,2624
ترامب,2550
دوت_إمارات,2525
الإخوان,2159
Tamim,2130
Qatarileaks,2111
الشيخ_زايد,2033
الجزيرة,1999
رمضان,1943
المقاطعة,1943
داعش,1837
قطر_دويلة_غدر_وخيانة,1808
أردوغان,1772
الولايات_المتحدة,1759
العراق,1672
Hamadein,1665
قطر_تنتهك_الإنسانية,1523
واشنطن,1518
تسقط_بس,1488
Qatari,1443
فرنسا,1438
أنقرة,1363
فساد_قطر,1350
أمريكا,1274
البحرين,1241
روسيا,1225
اعتصام_القيادة_العامه,1218
طرابلس,1196
فشل_قطر,1123
boycottQatar,1120
بريطانيا,1116
إنفوجرافيك,1113
الرياض,1092
المغرب,1080
قطر_خيانة_وتطرف,1078
خسائر_قطر_بسبب_الحمدين,1019
العين,998
طهران,991
الكويت,968
الجيش_الوطني_الليبي,957
الأمم_المتحدة,954
العالم,951
حمد_بن_خليفة,944
سواكن_في_رمضان_سودانية,894
غرفة_عمليات_الكرامة,874
إسرائيل,872
لندن,831
أوروبا,808
قطر_تنشر_الكراهية_والإرهاب,787
ألمانيا,783
طوفان_الكرامة,767
المقاطعة_العربية,753
برشلونة,737
فلسطين,735
إسطنبول,733
تميم_مندوب_إيران,715
الخليج,702
الشارقة,697
كأس_العالم,691
صباحكم_إماراتي,690
قطر_مطية_تركيا,690
حمد_بن_جاسم,686
التحالف_العربي,683
ريال_مدريد,669
عصابة_الدوحة,667
الصين,660
تونس,657
النظام_القطري,651
غزة,624
نيويورك,613
باريس,612
مونديال_2022,604
القاهرة,583
مونديال2022,577
السودان_تسقط_الاخوان,554
الملالي,549
تميم_يدعم_الإرهاب,549
حفتر,546
الحوثي,545
القمة_العالمية_للحكومات,544
صباح_الخير,543
قطع_العلاقات_مع_قطر,543
رئيس_الدولة,532
الهلال_الأحمر_الإماراتي,523
قرآن_كريم,520
اطردوا_مخابرات_قطر_من_السودان,518
boycott,516
Arab,515
US,512
كوريا_الشمالية,511
القاعدة,510
موزة,506
الأردن,504
عام_الخير,504
الصومال,500
بوخالد,495
ماكرون,494
الجيش_الشعب,490
حصاد_اليوم,487
ساعة_استجابة,477
الحوثيين,476
نظام_الحمدين,476
دوري_أبطال_آسيا,470
الهند,461
الجزيرة_منبر_الفتنة,454
عام_زايد,451
القطريين,449
السودان_بلا_اخوان,445
ميسي,442
فيسبوك,439
لبنان,438
دوري_الخليج_العربي,435
البشير,429
الصلح_خير,427
دوري_أبطال_أوروبا,426
رونالدو,424
ليفربول,423
حلب,420
قطر_راعية_الإرهاب,413
تويتر,412
فيفا,407
موسكو,407
تميم_بن_حمد,403
