hashtags,count
Saudi,18
Brexit,5
ISIS,4
Qatar,3
Iran,3
France,3
اليوم_الوطني_السعودي,3
اليوم_الوطني,3
Breaking,3
OICSummit,2
Saudi_National_Day,2
Trump,2
SaudiArabia,2
NotreDame,2
Ramadan,2
Macron,2
FreeIran,2
Racism,2
Syria,1
Syrian,1
Terrorism,1
UAE,1
Smoking,1
Terrorist,1
Saudis,1
Turkey,1
SaudiAttack,1
AlQaeda,1
UCLFinal,1
Venezuela,1
متحف_الفيصل_للفن_العربي_الإسلامي,1
متحف_الفيصل,1
كيف_ننسى,1
قمة_الرياض,1
ريال_مدريد_يوفنتوس,1
ذكرى_وفاه_الملك_عبدالله,1
تويتر_السعودية,1
تويتر,1
terrorism,1
saudi_national_day,1
juventus,1
iran,1
Yemen,1
Russia,1
Voices,1
YellowVests,1
Putin,1
Rouhani,1
Erdogan,1
ISIL,1
Houthis,1
Hezbollah,1
HappyEaster,1
Extremists,1
Ethiopia,1
Daesh,1
Refugees,1
Cuba,1
China,1
British,1
BREAKING,1
Assange,1
Asiri,1
India,1
IranDeal,1
Israel,1
Kashmir,1
KingAbdullah,1
Kuwait,1
Madrid,1
Manchester,1
North_Thunder,1
NotreDameFire,1
NotreDamedeParis,1
OpDecisiveStorm,1
Paris,1
Philippines,1
PulitzerPrize,1
Arab,1
RealMadrid,1
هناء_اسكندر,1
