domains,count
bit.ly,79429
twitter.com,42340
du3a.org,39775
athkarapp.online,36775
qoo.ly,21637
al-ain.com,18979
goo.gl,9628
fb.me,8428
dlvr.it,7030
pscp.tv,5161
youtu.be,4140
ow.ly,4046
bbc.in,3722
al-a.in,3407
youtube.com,3332
limportant.fr,1763
life.ru,1737
7dnews.com,1509
albayan.ae,1492
chouftv.ma,1480
cnn.it,1346
ren.tv,1327
facebook.com,1090
cnb.cx,1037
okdiario.com,1006
buff.ly,1001
trib.al,968
worldposts.net,924
ria.ru,920
wam.ae,898
huffp.st,835
abc.es,740
20four.com,721
skynewsarabia.com,704
abcn.ws,670
thestar.com.my,667
malaysianow.net,647
7adramout.net,632
rt.com,609
ift.tt,595
yemenakhbar.com,573
po.st,540
emaratalyoum.com,537
malaysiakini.com,529
instagram.com,529
iz.ru,490
world2day.net,478
arabnews.com,444
20m.es,432
alg24.net,424
adengad.net,421
cbsn.ws,414
fxn.ws,409
turkeyposts.net,408
bernama.com,390
astroawani.com,375
adnlng.info,373
grandesmedios.com,368
atres.red,340
popsugar.co.uk,338
cnn.com,337
aawsat.com,322
gulfnews.com,319
bloom.bg,318
hry.yt,293
cfr.org,292
rtve.es,290
arabmubasher.com,289
ajel.sa,283
soundcloud.com,282
kp.ru,278
mosaiquefm.net,274
alarabiya.net,271
bbc.com,266
nyti.ms,265
lefigaro.fr,264
freemalaysiatoday.com,264
thecrystaleyes.com,257
thenational.ae,255
reut.rs,253
spotify.com,241
theguardian.com,239
malaymail.com,237
nst.com.my,230
f24.my,227
pops.ci,225
sky.com,225
yemenwatch.com,224
independent.co.uk,224
iranfreedom.org,223
iranfocus.com,221
dw.com,219
alkhaleej.ae,218
mojahedin.org,216
yhoo.it,212
leparisien.fr,210
et.tv,210
nhk.or.jp,210
theiranproject.com,209
ara.tv,204
allafrica.com,203
10.tv,203
elpais.com,202
algerie1.com,201
paper.li,200
smtfy.com,199
hespress.com,199
2dec.net,199
read.ht,198
cgtn.com,192
hbr.tk,192
justunfollow.com,192
khaleejtimes.com,189
haaretz.co.il,186
consalud.es,185
ennaharonline.com,184
cumhuriyet.com.tr,184
tinyurl.com,182
reuters.com,179
emaratyah.ae,179
theforeigncode.com,178
youm7.com,178
politicshome.com,177
salutfr.net,173
telegraph.co.uk,173
italyoggi.com,171
shrq.me,163
qatarileaks.com,163
nyer.cm,157
ask.fm,155
ew.com,152
ahram.org.eg,149
larazon.es,149
eti.ae,149
twitpic.com,148
maariv.co.il,148
elmundo.es,147
qalinkacayaaraha.com,146
20minutos.es,144
e1.ie,143
sabq.org,140
hrw.org,137
standard.co.uk,136
star2.com,134
ncr-iran.org,133
washingtonpost.com,131
yemennewstraffic.com,130
diariodemallorca.es,130
bbc.co.uk,130
dailym.ai,129
okaz.com.sa,128
gqindia.com,126
yemen-window.com,126
indiatimes.com,124
thearabweekly.com,123
wikipedia.org,121
frontdesk.com.my,121
jpost.com,119
indianexpress.com,119
qatarviral.com,118
rue20.com,114
naver.com,111
alittihad.ae,110
khabaragency.net,110
eremnews.com,110
alyaoum24.com,109
sahafahnet.net,106
malaysiajournal.com,106
glo.bo,104
larep.it,103
uae-voice.com,100
cinconoticias.com,98
soutalomma.com,97
yabiladi.com,96
24.ae,95
qatarviral.net,95
sputniknews.com,94
timesofisrael.com,93
dailymail.co.uk,93
mybs.in,91
albawabhnews.com,91
balakona.com,90
diplomacy24.com,88
foxnews.com,88
hiamag.com,88
wapo.st,87
algerie-focus.com,87
sayidaty.net,86
joins.com,82
twentytwowords.com,81
wp.me,81
le360.ma,81
straitstimes.com,80
nytimes.com,80
eleconomista.es,79
theedgemarkets.com,78
eeradicalization.com,78
un.org,77
shemsfm.net,77
elwatannews.com,77
is.gd,76
alyamanalaraby.com,76
almashhadalaraby.com,74
vaticannews.va,74
dailycaller.com,74
sinarharian.com.my,73
kinitv.com,73
gu.com,73
marca.com,72
tecnovedosos.com,71
nabd.ws,71
alhayat.com,70
yen-news.net,70
mirror.co.uk,70
republicanyemen.net,69
econ.st,69
walla.co.il,69
vk.com,69
twasul.info,68
usat.ly,68
mill.yt,68
empireonline.com,68
mnatu.re,67
france24.com,67
nbntv.me,67
blogspot.com,67
middleeastmonitor.com,66
radioalgerie.dz,66
tunisianow.net.tn,66
themalaysianinsight.com,65
thefederalist.com,64
cort.as,64
irannewswire.org,64
wa.me,63
elbalad.news,62
milanopost.info,61
ind.pn,61
shar.es,60
newsyemen.net,60
globalvillagespace.com,60
shr.gs,60
lahamag.com,59
irane-ma.com,59
bleacherreport.com,59
tuniscope.com,59
twetat.com,59
blgs.co,59
travelzad.com,59
yenivatangazetesi.com,57
google.com,57
arabesque.tn,57
time.com,55
urdupoint.com,55
afp.com,54
alwatannewspaper.ae,54
ekantipur.com,54
ouest-france.fr,53
albaud4.net,53
forbes.com,53
dozz.es,52
csera.it,52
haberturk.com,52
lavanguardia.com,52
medias24.com,52
nabdapp.com,51
dostor.org,51
sahafah24.net,51
vogue.cm,50
natgeo.com,50
aja.me,50
alsahwa-yemen.net,50
todocooking.com,49
wef.ch,49
lesiteinfo.com,49
thetimes.co.uk,49
zerosport.net,49
mohtawa.ae,49
lemonde.fr,49
ultimasnoticias.com.ve,49
sarahah.com,48
breitbart.com,48
tandl.me,47
tunivisions.net,47
www.gov.uk,47
prayerofpeace.com,47
alhadath.net,47
foreignpolicy.com,46
wnd.com,46
nbcnews.to,45
thr.cm,45
cnbc.com,45
tasty.co,45
bic-rhr.com,45
goolfm.net,44
itv.com,44
ti.me,44
lamarea.com,44
egypttoday.com,44
as.com,44
dzfoot.com,44
irankargar.com,43
saudigazette.com.sa,43
babnet.net,43
msn.com,43
aleqt.com,42
apne.ws,42
ipsnoticias.net,42
haaretz.com,41
uk-arabicnews.com,41
recetasderechupete.com,41
alriyadh.com,41
lebanondebate.com,41
spacenews.com,41
euronews.com,41
middleeasteye.net,41
news.com.au,41
bloomberg.com,41
hbr.org,41
aol.it,41
sozcu.com.tr,41
aldarvoice.ae,41
nationalyemen.com,40
qleaks.com,40
wsj.com,40
alayyam.info,40
popsugar.com,40
20il.co.il,40
almnatiq.net,39
honestreporting.com,39
providencemag.com,39
yahoo.co.jp,39
nws.mx,39
t.me,39
vetogate.com,39
alarab.qa,38
tsa-algerie.com,37
mobileworldlive.com,37
ilfattoquotidiano.it,37
lat.ms,37
politico.eu,36
southfront.org,36
alroeya.ae,36
sabah.im,36
booking.com,36
yahoo.com,36
themarker.com,36
almowaten.net,36
hill.cm,36
fna.ir,35
radiozamaneh.com,35
mulhak.com,35
sky.tg,35
aljadeed.tv,34
arabianbusiness.com,34
lemde.fr,34
bitajarod.com,34
cmore.pics,34
sports.ru,34
1clickurls.com,33
almasdaronline.com,33
qatarliving.com,33
lebanon24.com,33
alekhbariya.net,33
francetvinfo.fr,33
yemenmonitor.com,33
cemmis.edu.gr,33
asiaone.com,33
mobtada.com,32
sondakikaturk.com.tr,32
slaati.com,32
culturaocio.com,32
sitiosdeespana.es,32
almaghrebiya.it,32
politi.co,32
akhbaralaan.net,32
worldofbuzz.com,31
masr11.news,31
goal.com,31
n.pr,31
newsmax.com,31
bfmtv.com,31
vogue.es,30
33sk.tv,30
parstoday.com,30
yemenpost.co,30
istoe.com.br,30
mundodeportivo.com,30
ajmannews.ae,30
infobae.com,30
pri.org,30
elfann.com,30
amnesty.org,30
indy100.com,29
kbs.co.kr,29
elwatan.com,29
channelnewsasia.com,29
wordpress.com,29
es.pn,29
theneolife.com,29
usatoday.com,29
globalnews.ca,29
yemen-now.com,28
fifa.to,28
xinhuanet.com,28
nypost.com,28
fal.cn,27
ted.com,27
hankookilbo.com,27
dailyexpress.com.my,27
magiquiz.com,27
europapress.es,27
1tv.ru,27
sport-express.ru,27
imbc.com,27
arabinews.me,27
sanaagmedia.com,26
bzfd.it,26
bald-news.com,26
nbcnews.com,26
traveldiv.com,26
medium.com,26
gulftoday.ae,26
dailyrecord.co.uk,26
radiodalsan.com,26
lifehac.kr,26
linkiesta.it,26
twimg.com,26
mrep.kr,25
si.com,25
cna.asia,25
thedo.do,25
lnkd.in,25
aa.com.tr,25
adinc.co.kr,25
elnashra.com,25
redian.org,25
bbva.info,25
pangissue.com,25
express.co.uk,25
irannewsupdate.com,25
thehill.com,25
sciencemag.org,25
minhamtv.vc,25
gulf365.co,25
startupbridgeva.com,25
telva.com,24
khbarna.net,24
voanews.com,24
go.com,24
livemint.com,24
ft.com,24
aml.ink,23
esjnews.com,23
rree.go.cr,23
uol.com.br,23
cosmopolitan.com,23
malaysia-today.net,23
bharian.com.my,23
al-marsd.com,23
almustaqbal.org,23
floor8.com,23
maghrebvoices.com,23
alahednews.com.lb,23
ab.co,22
oiac.org,22
buzzfeed.com,22
ihr.fm,22
vogue.uk,22
pdy.pr,22
alarab.co.uk,22
dawn.com,22
iloveqatar.net,22
omn.kr,22
pulitzercenter.org,22
hani.co.kr,22
alyementoday.com,22
elfagr.com,22
masrawy.com,22
alyaum.com,22
businessinsider.com,22
sadaalmawakea.com,21
apnews.com,21
alamsar-dostor.org,21
romanews.eu,21
rotter.net,21
cuatro.com,21
adengd.net,21
rightrelevance.com,21
curiouscat.me,21
sharjah24.ae,21
elnuevodiario.com.do,21
sahafahn.net,21
daum.net,21
alghad.tv,21
alwafd.news,21
huffingtonpost.com,21
politics.co.uk,20
mareeg.com,20
apple.news,20
rosea.it,20
repubblica.it,20
sarawakvoice.com,20
