domains,count
twitter.com,1794
bit.ly,976
buff.ly,645
atlantablackstar.com,370
pinknews.co.uk,311
lgbtqnation.com,304
instagram.com,214
theroot.com,149
topbuzz.com,126
newsone.com,102
theguardian.com,89
trib.al,83
rawstory.com,76
cnn.com,72
google.com,66
cnn.it,64
independent.co.uk,64
youtu.be,63
thefreethoughtproject.com,55
washingtonpost.com,48
bbc.com,44
gaystarnews.com,42
ow.ly,37
facebook.com,37
yahoo.com,32
nbcnews.com,32
bbc.co.uk,29
face2faceafrica.com,29
nytimes.com,28
africanews.com,23
sky.com,22
abcn.ws,22
dailymail.co.uk,22
nypost.com,22
bbc.in,22
newsweek.com,22
youtube.com,21
huffpost.com,21
hill.cm,18
mol.im,17
mcaf.ee,17
theblackdetour.com,17
wapo.st,17
metro.co.uk,17
nbcnews.to,16
soundcloud.com,16
msnbc.com,16
cbsnews.com,14
76crimes.com,13
huffp.st,13
advocate.com,13
hrw.org,13
ghanaweb.com,13
cleveland.com,13
medium.com,12
aje.io,12
thehill.com,12
reuters.com,12
graphic.com.gh,11
go.com,11
nyti.ms,11
aljazeera.com,11
theconversation.com,11
ajc.com,10
thetimes.co.uk,10
bet.com,10
latimes.com,10
vox.com,10
cbsn.ws,9
politico.com,9
cbc.ca,9
time.com,9
rt.com,9
myjoyonline.com,9
thegrio.com,9
blacknews.com,9
washingtonblade.com,9
cbsloc.al,9
montgomeryadvertiser.com,9
fox6now.com,9
therustintimes.com,9
cbslocal.com,8
goo.gl,8
pscp.tv,8
nbcwashington.com,8
dlvr.it,8
modernghana.com,8
gaytimes.co.uk,8
pbs.org,8
nbclosangeles.com,8
nostringsng.com,8
mirror.co.uk,8
windycitymediagroup.com,8
allafrica.com,8
nydailynews.com,8
opendemocracy.net,8
news24.com,8
vice.com,8
usatoday.com,8
theappeal.org,8
globalnews.ca,7
indy100.com,7
pride.com,7
thedailybeast.com,7
essence.com,7
buzzfeednews.com,7
wsbtv.com,7
inews.co.uk,7
curvemag.com,6
desmoinesregister.com,6
chicagotribune.com,6
courant.com,6
msn.com,6
abc7chicago.com,6
lgbtrightsgh.org,6
bloom.bg,6
blackenterprise.com,6
tinyurl.com,6
newsmaven.io,6
people.com,6
apnews.com,6
out.com,6
wordpress.com,6
qghana.org,6
ibtimes.com,5
attitude.co.uk,5
telegraph.co.uk,5
rollingstone.com,5
axios.com,5
dailyorange.com,5
j.mp,5
gaycitynews.nyc,5
wlns.com,5
oklahoman.com,5
npr.org,5
patch.com,5
chiangraitimes.com,5
standard.co.uk,5
weetracker.com,5
amazon.com,5
radio.com,5
businessinsider.com,5
dallasnews.com,5
eastafricamonitor.com,5
queerty.com,5
libertywritersafrica.com,5
yen.com.gh,5
thinkprogress.org,5
cbs46.com,5
theatlantic.com,5
thesun.co.uk,5
timeslive.co.za,5
ebony.com,5
umich.edu,5
peacefmonline.com,4
goerie.com,4
diggers.news,4
politi.co,4
nation.co.ke,4
democracynow.org,4
msmagazine.com,4
rewire.news,4
refinery29.com,4
gofundme.com,4
sacbee.com,4
forbes.com,4
pulse.com.gh,4
daytondailynews.com,4
nationalgeographic.com,4
rollingout.com,4
goodblacknews.org,4
charlotteobserver.com,4
slate.com,4
aclu.org,4
kansascity.com,4
anchor.fm,4
thecourier.co.uk,4
ampproject.org,4
kuow.org,4
thestate.com,4
