hashtags,count
BlackLivesMatter,1399
racism,1252
LGBT,864
PoliceBrutality,844
blacklivesmatter,695
Diversity,628
BlackLove,611
LGBTQ,570
BlackHistoryMonth,493
HumanRights,479
blackexcellence,452
BlackTwitter,417
SayNoToRacism,376
love,376
BlackExcellence,343
BlackTwitterMovement,342
Ghana,336
police,334
policebrutality,308
Blacktwitter,301
Africa,271
CHANGE,257
blackhistorymonth,253
loveislove,250
Trump,246
Police,244
blackgirlsrock,229
LGBTRightsGhana,228
black,226
racist,224
TuesdayThoughts,222
MondayMotivation,222
women,210
blackgirlmagic,206
blackandproud,206
blackisbeautiful,194
equality,188
blacklove,175
TuesdayMotivation,165
mondaythoughts,164
PoliceState,151
FridayFeeling,149
MGWV,144
blackhistory,142
saynotoracism,139
girlpower,139
cops,138
BLM,137
FridayThoughts,137
Sustainability,136
BlackHistory,135
ThursdayMotivation,131
blacks,130
Racism,128
FridayMotivation,127
WednesdayWisdom,127
blackpower,126
melanin,120
Equality,120
WednesdayThoughts,117
gay,114
WednesdayMotivation,109
BlackCommunity,107
pride,107
queerness,107
BlackGirlMagic,105
lgbt,105
respect,105
America,104
ThursdayThoughts,102
freedom,102
WhitePrivilege,102
BLACKPINK,100
humanity,100
Black,99
coronavirus,86
kickitout,85
MondayMorning,84
ftp,84
queer,82
africa,81
BlackHistoryMonth2020,76
AllLivesMatter,75
TuesdayMorning,74
rainbow,73
nodiscrimination,73
lgbtq,72
blacksnews,70
Repost,68
SaturdayThoughts,67
justic,67
transgender,66
fuckracism,66
SundayThoughts,66
StopWCFInGhana,66
brownskingirls,65
barriers,64
weekend,62
blackface,62
PoliceReforms,62
CitiCBS,62
YearOfReturn,62
HereAndBeyond,61
FOLLOWTRICK,60
SNRTG,60
BreakingNews,59
fuckracists,59
EqualityCantWait,58
impeachment,57
MondayMood,56
TEAMFOLLOWBACK,56
BringBackTheLove,56
Queer,56
Nigeria,56
LoveYourselfSpeakYourself,55
discrimination,55
DonaldTrump,54
KobeBryant,53
ShowbizAgenda,53
WhiteSupremacy,52
Trending,51
RETWEET,51
blackhistory365,50
BlackFriday,50
FOLLOW,50
TrumpIsAWhiteSupremacist,49
gogirls,49
blackmagic,49
EndRacism,49
SaturdayMotivation,49
BBNaija,48
MondayMotivaton,48
tuesdayvibes,48
blackhistoryfacts,48
Love,48
BREAKING,47
alllivesmatters,47
