tweet_client_name,count
Twitter for Android,2063203
Twitter Web Client,1473845
Twitter for iPhone,1033223
erased13263733,632063
TweetDeck,377077
القفيدي,278956
oauth:6526060,232599
Twitter Web App,226746
 تويت قرآن,225186
twitterfeed,201059
Facebook,142707
web,138222
oauth:7146265,107056
تويتات,55898
Google,53525
تطبيق زاد المسلم,51996
اسد ريتويز,51258
تطبيــق دعـــاء,48432
Mezgal,41109
Mobile Web (M2),39542
غرد بصدقة,39443
erased9327737,23512
Hootsuite,22077
Twitter for Android Tablets,21266
درر السلف,21232
Twitter for iPad,20104
تطبيق قرآني,16363
GroupTweet,15991
Tweetbot for iOS,15560
تطبيق زاد المسلم  ,15278
erased14591474,14262
dlvr.it,14171
twasul news apps,13044
knzmuslim كنز المسلم,12273
تطبيق تغريد دعاء,11514
Mobile Web,11330
تغريدات الأذان,10767
تطبيق أذكــــار,10749
IFTTT,10234
أذكـــــــــــــــــــــار,9882
erased5906509,8070
Buffer,7639
erased12927145,6953
Twitter for Windows Phone,6385
تطبيق تغريـــــــدات,5581
جامعة الكويت,5411
tweetbutton,5280
athkarApp,4829
Linkis: turn sharing into growth,4366
حسًّناتٌّ,4161
تطبيق تدبُّر,3841
erased5690773,3790
تطبيق دعاء,3697
erased8395751,3153
Twitter for BlackBerry®,3095
Instagram,2362
oauth:6438284,2243
تطبيق المفردُون,2241
TweetAdder v4,2197
TweetCaster for iOS,2132
Twitter for Websites,2119
erased7769225,2111
Twuffer,2073
Finch App for Android,1954
Ayat | آيات,1924
Unf Alert,1866
jack456gffgaks2,1747
titte mbc,1740
Twitter tools android ,1677
كنز المسلم,1630
GharedlyCom,1293
BIGO LIVE,1276
Hootsuite Inc.,1271
groube 1,1223
أذكــار,1166
red retweets,1152
Twitter for  Android,1110
GharredNet,1101
السياحة فى جورجيا,1006
twasul news app,1000
Ask.fm,904
soud_rama,799
TamimAlMaajd,780
Curious Cat,767
تويتاتك,730
erased4025153,725
صدقـة,723
my tweets arab,621
UberSocial for BlackBerry,584
erased8276685,555
Crowdfire Inc.,480
twittertwitter23456,471
Tweetbot for iΟS,415
TweetCaster for Android,390
Dietitian Sa,388
enat45cvkevinb1,387
Denisda30423607,287
el_genaby,279
مكتبة تغريدات,277
erased994719,275
Path,239
Tweetings for Android,215
Unfollowspy,187
زاد المسلم,184
Plume for Android,159
Dudu.com,154
