tweet_client_name,count
TweetDeck,430296
Twitter for Android,283735
Twitter for iPhone,153256
Twitter Web Client,80850
web,38289
Facebook,32873
Twitter for BlackBerry®,31977
Twitter for iPad,27912
Hootsuite,27777
Twitter Web App,21668
Twitter for  Android,4374
Hootsuite Inc.,4041
Instagram,3157
Paper.li,2801
IFTTT,2374
Linkis: turn sharing into growth,2213
UberSocial for BlackBerry,1499
tweetbutton,1494
Google,1376
blipea,1341
Ask.fm,1252
erased138961,1237
Mobile Web,932
erased994719,841
Crowdfire Inc.,757
Twitter for BlackBerry,699
iOS,684
Tuit Útil,639
WordPress.com,551
Curious Cat,446
Tumblr,441
Twitter for Windows Phone,395
fllwrs,368
Twitter for Websites,166
Twitter for Android Tablets,145
Photos on iOS,134
Periscope,121
Sprout Social,117
erased547658,114
Mobile Web (M2),87
Mixcloud,76
Foursquare,73
Tweets iPhone,72
Path,67
TweetCaster for Android,64
Twitter for Mac,63
Friends Me,61
Badoo Premium,56
Twitpic,55
Bible,54
erased88075,52
Instagram on iOS,52
Spotify,50
m5,45
Buffer,44
Blip.fm,36
Spring.me,31
Camera on iOS,30
Gusoft Susej,29
Affinitweet.com,25
a Ning Network,25
Kiwi Q&A,23
SpreadShout,23
mobile,20
Nike Application,19
OS X,19
CallApp,17
Twittea por la libertad,16
Goodreads,14
Commun.it,14
Twitter for Windows,14
TuitsPorXiomara.com,14
Pinterest on iOS,13
tweetphoto,12
Social by Nokia,11
AgoraPulse Manager,10
Flipboard,10
Twitter Ads,9
twitterfeed,9
twitpic,9
Shareaholic.com,8
Vine for windows phone,8
Tweets60dm,8
Postolog,7
Alcatel mTweet,7
Twitter Business Experience,7
NotFollow.me,7
Onmyoji Arena,6
SumAll,6
BuzzFeed iOS,6
SoundCloud,6
Temple Run,6
Livestream Twitcam,6
Fun Year Round2,6
Vine for Android,5
Safari on iOS,5
BlogTopSites - Blog Connect,5
Nike+ GPS on iOS,5
Twitter for Nokia S40,4
Flickr,4
Tumblr on iOS,4
HL Twittter,4
nottrudulteay,4
TweetMeme,4
Texaco Unbeatable Promotion,4
Moments Internal Auth,4
Yfrog,3
Kamio on iOS,3
MyDemoTweet17,3
TwitThis,3
PublisuitesInfluencers,3
Twibbon,3
grooveshark,3
Twitter SMS,3
DISQUS,3
Que Simpson eres,2
NotFollow.me en Español,2
Vine - Make a Scene,2
Pin_Any_Tweet,2
Dropbox ,2
EyeEm,2
diasp.org,2
Earthquake,2
Zoho Social,2
Twitlonger,2
Gleam Competition App,2
Scribd,2
YouTube on iOS,2
Spark Byte,2
Car Town Streets on iOS,2
triviacrack,1
sharedfromskyfire,1
erased14446588,1
oauth:915444,1
oauth:1189155,1
m2,1
iconDecotter　,1
Webcam Toy,1
dlvr.it,1
erased14537346,1
ZeptoLab,1
Where's My Water? on iOS,1
AIM,1
TwitterTestMX,1
Fenix for Android,1
Maps on iOS,1
Lumiè on iOS,1
Jittergram on iOS,1
GroupTweet,1
Grooveshark.com,1
Friend Or Follow,1
Followerwonk,1
Favstar.FM,1
Twitter Media Studio,1
El Heraldo App iOS,1
Echofon,1
Covfefe (Edit Your Tweets),1
Bitstrips,1
Badoo inc.,1
Ava Tweet,1
AudienseCo,1
Meebo,1
Mejor Appsi,1
My Photobucket,1
Navita BB Translator,1
TweetCaster for iOS,1
Tweet & Get It !,1
Tweepsmap,1
Twalue,1
Temple Run: Brave,1
Snaptu,1
Shazam on iOS,1
RoundYearFun38,1
RoundYearFun25,1
RoundYearFun109,1
RT News Sharing,1
Que Simpson eres tu,1
Posterous,1
Portadas para TW,1
Pinterest,1
Samsung Mobile,1
