tweet_client_name,count
Twitter for Android,664760
IFTTT,462936
twittbot.net,436573
twitcle,208361
twitterfeed,140749
TweetDeck,126024
Twitter Web Client,97724
Twitter for iPhone,96474
web,73429
Zapier.com,67832
Microsoft Power Platform,59150
dlvr.it,55612
TweetCaster for Android,40589
Mobile Web (M2),37767
Twitter for BlackBerry®,27011
Twitter Web App,18081
UberSocial for BlackBerry,14253
Twitter for Android Tablets,7665
Write Longer,5646
Ask.fm,4952
Twitter for iPad,4495
afifghaffar.my.id,4090
Mobile Web,3685
Plume for Android,3349
Twitter for  Android,3119
Twiterous,2976
Janetter for Android,2634
Dabr,2093
Kampungan.GA Frontal,1775
Seesmic,1564
Silver Bird,1538
Ultwimate App,1453
m.tweete.net,1368
Facebook,1295
Tuitwit,1157
Twitter for Nokia S40,1140
Instagram,1131
YoruFukurou,1130
CitCuit,932
UberSocial for Android,924
Make a Tweet,877
erased4997141,844
erased994719,839
Echofon,797
Tumblr,629
Sweet As Revenge,539
Crowdfire Inc.,533
Flusr,477
Linkis: turn sharing into growth,405
Like My Tweets,396
RoundTeam,379
Hootsuite,364
Snaptu,355
erased734497,343
m2,338
mTuit,313
GrabInbox,308
Echofon  Android,295
tweetbutton,287
Path,267
Twitter for Windows Phone,263
Social Proxy by Mailchimp,244
Addictweet® Mobile,213
mobile,196
Curious Cat,194
WhoUnfollowedMe Org,189
sms,159
tweetdeck,150
Instagram on iOS,134
TwitPal,116
mobTweet,108
Twitpic,98
Unfollowspy,88
TwiAgeCom,56
Carbon for Android,55
twitterfon,45
Тwitter for iPhone,43
Sociocaster App,40
fllwrs,39
Foursquare,34
Buffer,34
TweеtCaster for Android,33
Tweetwawa,32
Twibbon,32
Yfrog,30
Visits Profile,28
erased_1580485,27
oauth:454032,26
Yahoo,26
Тwitter fоr  iPad,24
Wattpad,21
statsinfo,21
m5,19
Twaim,19
Twitter for BlackBerry,18
Twitter for Websites,16
Greaterapp,15
Koprol,14
Affinitweet.com,14
Twidere for Android (Deprecated),13
Mobile Web (Moblie),13
snaptu,12
WeChat app,11
TweetCaster for BlackBerry,10
Flickr,10
Twitter for Advertisers,10
Tes pekerjaan online,10
seesmic,9
oauth:3452562,9
mobsterworld,9
Samsung Mobile,9
Last Visits 24H,8
AnaTweet_com,8
Moments Internal Auth,8
Your last visits profile,7
UberSocial for iPhone,6
ТwееtDеck,6
Mobiter,6
LinkedIn,6
Polyvore,6
erased9075963,5
iOS,5
YouTube on iOS,5
UberSocial for Twitter on iOS,5
Digsby,5
DC Backgrounds,4
api,4
operawidget,4
Love CalcuIator,4
RoundYearFun39,4
Flipboard,4
Carousell App,4
TweetXilla.com,4
TwitIQ,3
Writelonger,3
My Twitter Valentine's,3
Wooz.in,3
Freedom Tweets!,3
TweetCatch.com,3
Who Unfollowed Me,3
Hootsuite Inc.,3
Twitter Crush,3
erased675638,3
Twitscoop,3
ÜberSocialOrig,3
erased8240397,3
TwitMania™,2
Social by Nokia,2
erased40502,2
GroupTweet,2
Google,2
erased486369,2
Kuncimarket.com,2
TwitBackgrounds,2
Nike Test App,2
Plixi,2
Camera360 ,2
Fiver.us,2
RoundYearFun38,2
RoundYearFun199,2
RoundYearFun32,2
TweetAccelerator,2
oauth:795090,2
tweetree,1
Doodle Sprint! on iOS,1
Automate Indonesia,1
iOS 6.1,1
Kaskus,1
Dropbox ,1
Indonesia Unite,1
ImageChef,1
FBKC,1
Heello,1
FavCleaner,1
Feedjit,1
BhjK,1
Twitlonger,1
erased1294528,1
MediaFire,1
RoundYearF107,1
Twitter Ads,1
TweetMeme,1
Tweepsmap,1
Twalue,1
Tokokoo PayTweet,1
Temple Run 2 on iOS,1
RoundYearFun41,1
Ube&#114;Social,1
RoundYearFun283,1
UberSocіal for iPhone,1
RoundYearFun25,1
RoundYearFun100,1
RoundYearF56,1
RYF 37,1
erased5434447,1
Windows 8 1.3.4,1
PrikiTweet!,1
My Top Tweets ⬆️,1
Zona WiFi,1
My Photobucket,1
Muzy.com,1
dndapp,1
erased15069912,1
erased1527351,1
erased15290352,1
Mozat for tweets,1
erased52744,1
erased5303169,1
 Hape  Esia,1
