domains,count
bit.ly,229710
twitter.com,193153
favstar.fm,91913
dlvr.it,56273
xbx.lv,13729
youtu.be,3366
telkomsel.com,3265
sinaimg.cn,2913
tistory.com,2833
youtube.com,2780
instagram.com,2609
tsel.me,2242
goo.gl,2137
twimg.com,1957
kompas.com,1342
papuawest.com,1329
ask.fm,1292
ift.tt,1286
imgur.com,1271
zpr.io,1236
staticflickr.com,1183
infowestpapua.com,1128
kom.ps,973
westpapuan.org,927
buff.ly,853
banggaindonesia.net,834
spotify.com,774
wl.gs,685
xbox.com,639
freewestpapuacampaign.com,630
merdeka.com,606
ln.is,605
fb.me,602
westpapuaindonesia.com,549
mtw.tl,525
detik.com,523
tmblr.co,512
indihome.co.id,472
naver.com,432
etsy.me,420
twitpic.com,386
soompi.com,377
fbcdn.net,364
seword.com,362
curiouscat.me,349
naver.me,348
uapp.ly,344
mediafire.com,337
ebx.sh,323
facebook.com,314
vlive.tv,310
allkpop.com,308
tribunnews.com,306
unfollowers.com,294
cdninstagram.com,268
path.com,267
de.tk,267
tokopedia.com,266
ow.ly,256
qoo.ly,247
mwave.me,244
lockerz.com,218
tinyurl.com,203
daum.net,202
majornelson.com,199
whounfollowedme.org,189
unfollowers.me,183
liputan6.com,182
smtown.com,180
tl.gd,179
daumcdn.net,178
tumblr.com,168
tempo.co,165
interest.me,160
indosatooredoo.com,156
loop.co.id,155
blogspot.com,151
jasaserviceac.com,150
deck.ly,148
kereta-api.co.id,144
telkom.co.id,134
127.net,131
metrotvn.ws,125
detik.id,122
telkomselm2m.co.id,117
pscp.tv,114
wp.me,111
vine.co,109
yfrog.com,107
viva.co.id,106
reuters.com,96
weibo.cn,96
etsy.com,94
google.com,93
instagr.am,92
unfollowspy.com,92
bbc.co.uk,90
nydailynews.com,89
cnet.com,89
wsj.com,89
miamiherald.com,89
espn.com,89
theguardian.com,89
metrotvnews.com,88
whatsapp.com,86
justunfollow.com,84
brt.st,81
nci.or.id,80
cnnindonesia.com,79
wordpress.com,79
genie.co.kr,78
hooq.tv,78
kompasiana.com,76
soundcloud.com,76
chirpstory.com,73
cnn.com,73
republika.co.id,73
t.co,73
muzy.com,71
shrtn.us,70
cnn.id,68
okezone.com,66
vyrl.com,66
tiket.com,65
jpnn.com,64
me2.do,64
sbs.co.kr,64
crowdfireapp.com,62
dcinside.com,61
asiaartistawards.com,57
twiage.com,56
tmi.me,52
oksusu.com,50
nu.or.id,50
visualjalanan.org,50
antaranews.com,50
blackpinkyg.com,49
tiketkai.com,49
microsoft.com,47
quizyourfriends.com,46
jawapos.com,44
live.com,44
2017mama.com,44
beritasatu.com,44
kask.us,43
wifi.id,43
tm.to,43
twibbon.com,41
seruindonesia.com,40
thejakartapost.com,40
exo-jp.net,40
kpopchart.net,39
kpopchart.kr,39
kumparan.com,39
weibo.com,39
supplierdagingjakarta.com,38
okz.me,38
polri.go.id,37
shar.es,36
yg-life.com,36
im3.do,35
qoo10.com,34
fllwrs.com,34
aqstream.com,33
topstarnews.net,33
blbrd.cm,33
ouo.io,33
4sq.com,32
setkab.go.id,31
flic.kr,31
naver.net,30
cargocollective.com,30
koreanindo.net,30
kakatomi.com,30
disq.us,29
eventbrite.com,29
portal-islam.id,29
aegyo.me,29
cybercrimepolri.go.id,29
hrw.org,29
imbc.com,28
ranahpolitik.id,28
wattpad.com,28
anatweet.com,27
baranews.co,27
via.me,27
rmol.co,27
newsen.com,27
is.gd,26
jombangpos.com,26
westpapuaupdate.com,25
taengstagram.com,25
mega.nz,25
akamaihd.net,25
minus.com,25
po.st,24
change.org,24
diqra.id,24
news1.kr,24
gettyimages.com,23
bit.do,23
jkt48.com,22
periscope.tv,22
kaskus.co.id,22
franchisetakoyaki.com,22
google.co.id,22
hankyung.com,22
sbs.com.au,22
mediaindonesia.com,21
forbes.com,21
terasolo.com,21
gvwy.io,21
bmkg.go.id,20
weebly.com,20
ucweb.com,20
imageshack.com,20
lofter.com,20
vimeo.com,20
squarespace.com,20
soshistagram.com,20
smarturl.it,19
rol.co.id,19
ichart.kr,19
cstelkomsel.co.id,19
affinitweet.com,19
melon.com,19
dennysiregar.com,19
mtv.com,18
mongabay.com,18
marieclairekorea.com,18
mdk.to,18
bama-music-awards.org,18
myloc.me,17
joins.com,17
harpersbazaar.co.kr,17
vogue.com,17
kbs.co.kr,17
carrd.co,16
tweetmashup.com,16
dailymotion.com,16
wowkeren.com,16
blanja.com,16
iwarta.id,16
8tracks.com,16
upload.cc,15
w.tt,15
loonatheworld.com,15
gerilyapolitik.info,15
2kgam.es,15
hatree.net,15
wearenexo.com,15
gerilyapolitik.com,15
koreaboo.com,15
exidworldintl.com,15
bbc.in,15
aoatv.net,15
melon.do,14
korea.net,14
rafflecopter.com,14
wkorea.com,14
osen.co.kr,14
inti.kr,14
komp.as,14
pdiperjuangan-diy.org,14
vogue.cm,14
hobi88.org,14
coinmarketcap.com,14
melekpolitik.com,14
m.si,14
nyunyu.com,14
wiley.com,14
steller.co,13
tirto.id,13
vogue.co.kr,13
t.cn,13
etoday.co.kr,13
j.mp,13
4shared.com,13
tagarsumut.com,13
yes24.com,13
m.sc,13
bbc.com,13
mbc.co.kr,13
huya.com,12
lamongandetikjatim.net,12
ygunited.com,12
aoatoz.com,12
commutil.kr,12
durl.me,12
ngarep.com,12
line.me,12
dispatch.co.kr,12
sindonews.com,12
pdiperjuangan.id,12
bisnis.com,12
mdpr.jp,12
majalahict.com,12
dailysabah.com,12
rajagrosirsandal.com,12
xportsnews.com,12
theaustralian.com.au,11
urbanup.com,11
apple.com,11
roundyearfun.com,11
blogdetik.com,11
pwrionline.com,11
roundteam.co,11
beritateratas.com,11
gesuri.id,11
bitly.com,10
unicef.org,10
chosun.com,10
katadata.co.id,10
testpekerjaan.com,10
ahegao.online,10
daddystakoyaki.com,10
kontan.co.id,10
tribunrakyat.com,10
twitrpix.com,10
thestudio.kr,10
fncent.com,10
paradepok.com,9
elle.co.kr,9
pegipegi.com,9
ygdreamers.com,9
synnara.co.kr,9
egloos.com,9
flickr.com,9
smtowntravel.com,9
vice.com,9
bongkarnews.com,9
beritahati.com,9
mtstarnews.com,9
k2korea.co.kr,9
miaopai.com,9
billboard.com,9
kpopsnaps.com,9
nate.com,9
lnk.to,9
aceofangels8.com,9
ameblo.jp,8
shots.com,8
iflix.com,8
speedtest.net,8
mypict.me,8
ore.do,8
depoklik.com,8
geotimes.co.id,8
bookmyshow.com,8
islamnkri.com,8
twipple.jp,8
socialify.eu,8
picz.in.th,8
mnet.com,8
kem.lu,8
ekado.co.id,8
twb.ly,8
wear.jp,8
asli.info,8
stardailynews.co.kr,8
setneg.go.id,8
unfollowerstats.com,8
ygex.jp,8
idntimes.com,8
dw.am,8
melanesia.news,8
hvstudio.net,8
fakta.news,8
ymmd-window.com,8
starseoultv.com,8
luda.kr,7
trueachievements.com,7
narasikita.com,7
pembersihkacagedung.com,7
ustream.tv,7
mixlr.com,7
blogspot.co.id,7
qq.com,7
yahoo.com,7
fnnews.com,7
parkchanyeol.co.kr,7
i.am,7
wikipedia.org,7
asiae.co.kr,7
lnkd.in,7
leonkorea.com,7
mt.co.kr,7
yesasia.com,7
mydaily.co.kr,7
all-twice.com,7
wmagazine.com,7
amazon.com,7
twitcasting.tv,7
instiz.net,7
infopublik.id,7
suara.com,7
checkprofile.tk,7
lottedfs.com,7
2juyeon.com,7
jpnn.co,7
fijitimes.com,6
fanbook.me,6
tom.my,6
tir.to,6
edgeline-tokyo.com,6
demokrat.or.id,6
kakao.com,6
sewa-apartemen.net,6
kstyle.com,6
fuse.tv,6
lovekcas.org,6
m-on-music.jp,6
s.id,6
mejaonline.net,6
apple.co,6
minecraft.net,6
mixer.com,6
mk.co.kr,6
aktual.com,6
ycpa-info.com,6
aeriverse.com,6
polyv.re,6
playmania.info,6
parkchanyeol.in,6
kartuloop.info,6
livetyping.com,6
indonesiabrandforum.com,6
interpark.com,6
ibighit.com,6
borneobulletin.com.bn,6
chilp.it,6
indonesiaberprestasi.web.id,6
cp-studio.net,6
jalandamai.org,6
vietnamnetjsc.vn,6
paper.li,5
gelora.co,5
pollcode.com,5
essstiga.com,5
getnews.co.kr,5
poskotanews.com,5
o.is,5
thepetitionsite.com,5
pemilihindonesia.or.id,5
nyti.ms,5
gnj.kr,5
juxtapoz.com,5
imageimg.net,5
news.com.au,5
idol-grapher.com,5
imgbox.com,5
meipai.com,5
medcom.id,5
mbn.co.kr,5
manc.it,5
insight.co.kr,5
internet.info,5
lensaberita.net,5
intexolteam.com,5
kenterin.net,5
hankooki.com,5
beritalima.com,5
11st.co.kr,5
donga.com,5
yoonyul.com,5
webdaily.co.kr,5
apkpure.com,5
tvreport.co.kr,5
blibli.com,5
tribratanews.com,5
asiatoday.co.kr,5
commcreation-ub.com,5
blizz.ly,5
alicdn.com,5
126.net,5
torrage.com,5
11st.kr,5
ugm.ac.id,5
benarnews.org,5
akuraik.com,5
chanyeolism.com,5
tweepsmap.com,5
blog.me,5
tvdaily.co.kr,5
abc.net.au,5
aoa-official.jp,4
revelupsubs.com,4
