hashtags,count
freewestpapua,249523
westpapua,242871
fwpc,242678
letwestpapuavote,226704
papuawest,153002
infowestpapua,146649
westpapuanid,145680
openfollow,101259
2019TetapJokowi,100583
Jokowi2Periode,98226
2019GantiPresiden,76511
LawanGerakanSeparatis,63489
KabehSedulurKabehMakmur,53269
GusIpulMbakPuti,49277
GusIpulPutiMenang,45625
Jatim2KabehSedulur,39683
iwartaid,32309
Pilpres2019,30851
JokowiLagi,22996
globalflagraising,21301
2019JokowiMaruf,20189
westpapuaindo,19482
2019JokowiMarufAmin,14620
pltl,14533
AfterBismillah,12940
2019jokowilanjut,12785
EXO,8881
westpapuagenocide,8740
JokowiMaruf2019,7136
sapapua,6807
ptl,6286
ProgramGusIpulMbakPuti,5924
WestPapua,5838
pilgubjatim2018,5799
JokowiMarufAmin2019,5457
Openfollow,5295
jatimsedulur,4791
kabehsedulurkabehmakmur,4392
nrp,4348
라이관린,4288
Jokowi1KaliLagi,4200
2019PilihJokowi,4102
Bogor,3765
Cibinong,3695
OpenFollow,3688
papua,3654
SablonKaosSatuan,3642
diqra,3641
AplikasiMyIndiHome,3624
berSATUuntukMAJU,3600
OPENFOLLOW,3405
SablonKaosCibinong,3269
EXOL,3225
iHeartAwards,3140
RT,3124
BestFanArmy,3105
NgabuburitTelkomCare,3060
GamesSeruKartini,3017
tetapjokowi,2841
워너원,2798
openheart,2628
tlrp,2456
ExploreMyIndiHome,2432
HitungUntungIndiHome,2361
westpapuaindonesia,2168
TetapJokowi,1854
LebaranTelkomCare,1818
peaceinpapua,1788
JokowiMaruf,1781
papuabarat,1781
2019KitaPilihJokowiAja,1767
TeJo,1754
FreeWestPapua,1708
rpt,1698
Indonesia,1676
LogoMyIndiHome,1635
엑소,1598
welovewestpapua,1594
Jayapura,1580
PapuaIndonesia,1542
TeamFollowBack,1511
education,1475
賴冠霖,1322
TelkomCareMerdeka,1269
KitaSatuIndonesia,1258
es,1237
ExploremyIndiHome,1232
2019tetapjokowi,1229
BLACKPINK,1220
jokowi2periode,1207
赖冠霖,1156
SaPapuaSaIndonesia,1109
Papua,1091
autofollback,1055
GusipulMbakPuti,1019
김세정,959
세븐틴,955
세정,936
WestPapuaIndonesia,903
Sejeong,893
afterBismillah,893
구구단,881
rtl,881
KuisMyIndiHome,880
NewProfilePic,821
WANNAONE,801
PTL,798
LAIKUANLIN,796
프리스틴,785
TWICE,776
블랙핑크,745
tl,738
KoKoBop,735
SEVENTEEN,732
IndiHomeTriplePlay,730
레드벨벳,714
Laikuanlin,704
민규,678
