tweet_client_name,count
Twitter for iPhone,17746241
Twitter for Android,11781705
Twitter for iPad,3063303
Twitter Web App,1468726
Twitter Web Client,534705
TweetDeck,437262
arabsweb,208229
Facebook,102487
تطبيق قرآني,87258
Linkis: turn sharing into growth,75385
تطبيق تدبُّر,72140
erased8276685,71307
GroupTweet,58514
تطبيق زاد المسلم,42584
تطبيق تغريد دعاء,39661
web,39088
أذكـــــــــــــــــــــار,37835
تطبيــق دعـــاء,37206
erased9327737,34857
تطبيق زاد المسلم  ,29657
athkarApp,27829
Mobile Web (M2),25149
erased14591474,23821
Twitter for BlackBerry®,23754
تطبيق دعـــــــــــاء,23318
غرد بصدقة,22635
الأذكار,21296
 تويت قرآن,20538
knzmuslim كنز المسلم,17448
أذكــار,17149
تطبيق آيه,16455
دعوة ,14201
تطبيق أذكــــــــار,11572
erased12927145,10973
erased13263733,10912
تطبيق أذكــــار,10766
خدمة إقرأ الاسلامية,10143
titte mbc,9754
مكتبة تغريدات,9519
erased12425703,8664
Twitter for Android Tablets,8568
Twitter for Windows Phone,8523
Twitter for  Android,7340
Hootsuite Inc.,6969
Twitter for BlackBerry,6873
كنز المسلم,6670
Dorar_islamic,6654
IFTTT,6599
twasul news app,6147
erased5690773,5659
twasul news apps,5480
تطبيق حسنة,5186
erased14757592,5077
Quran Tweets,4512
Ask.fm,4362
تطبيق الأذكار,4217
Twitter for Windows,4158
Twitter tools android ,3719
أذكـــار,3557
erased5618418,3313
erased994719,3287
Ayat | آيات,3273
صدقـة,3145
soud_rama,3059
تغريدات الأذان,3045
erased8395751,3030
erased5906509,2952
تطبيق أذكاري,2883
GharedlyCom,2662
GharredNet,2640
erased9353731,2511
Gharedly 2.3,2471
تطبيق آيات للتغريدات الإسلاميه,2233
رتويت الي..,2221
opnee234,2142
8uran.online,2130
iOS,1934
اهلا و سهلا بكم,1779
تطبيق دعوات,1733
Tweetbot for iOS,1712
Instagram,1664
غرد بالخير.,1623
HisnAl-Muslim,1511
Crowdfire Inc.,1423
Curious Cat,1400
oauth:5981305,1380
أذكــــار,1370
erased6288115,1356
Google,1310
erased9364697,1306
twitterfeed,1289
