tweet_client_name,count
Twitter for Android,27690552
Twitter Web Client,7855628
Twitter Web App,5266802
Twitter for iPhone,1839026
IFTTT,140496
Mobile Web (M2),115179
TweetDeck,33963
web,33428
Mobile Web,14344
erased13455093,13106
Linkis: turn sharing into growth,9112
Google,7970
Facebook,6902
Twitter for Android Tablets,5458
Twitter for Windows,4010
NetworkedBlogs,3791
tweetbutton,3564
Twitter for Windows Phone,3218
erased994719,2179
WhoUnfollowedMe Org,1883
Commun.it,1778
fllwrs,1688
Twitter for Websites,1602
Twitter for BlackBerry,1412
Crowdfire Inc.,1408
Commun.it Intelligence,1369
Unfollowspy,1243
Twitter for iPad,1081
LinkedIn,828
SumAll,785
erased4025153,654
Instagram,419
Foursquare,247
Twitter for  Android,239
UberSocial for Android,195
Whounfollowedme.Org,176
Tweepsmap,168
TwitPane for Android,114
Gleam Competition App,97
Viber,86
Social by Nokia,71
Favstar.FM,71
My Twitter Score,60
Echofon  Android,57
Milanche,53
Auto  Tweets ,49
Pinterest,36
Twitter for Nokia S40,29
Deezer,28
Periscope,23
Huwaei social apps,20
  HTC Peep,19
My Photobucket,18
iOS,18
erased40502,17
TweetCaster for Android,16
Flickr,14
Twitter SMS,14
Echofon,14
erased5423693,13
UberSocial© PRO,12
CSR Racing,10
Moments Internal Auth,10
Twitter for BlackBerry®,9
Shutterstock Contributor Gallery,9
ReverbNation,8
Alcatel mTweet,8
UberSocial for BlackBerry,8
Twitlonger,6
Badoo inc.,6
Vimeo,6
Who Unfollowed Me,6
Seesmic twhirl,6
Kesl,5
Tyrants Fall Without Support,5
m5,4
api,4
piZap.com,4
🔍Your last visits🔍,4
BowlingKing,4
Hootsuite,4
Spoter Network,4
Janetter for Android,3
Shareaholic.com,3
Morecast,3
TwitLonger Beta,3
WordPress.com,3
Samsung Mobile,3
ShareThis.com,3
ValueMyTweets,3
erased9075963,3
Confirmِ Youَr Age,3
iconDecotter　,3
efes 2017,2
Photodex ProShow,2
Gfycat Twitter,2
Curious Cat,2
Affinitweet.com,2
erased1058982,2
Sports Tracker,2
  Round Year Fun,2
SideReel,2
SumoMe,2
Twitpic,2
RealPlayer,2
Reve Marketing ,2
PlayStation(R)4,1
CF WorkStats,1
erased8160459,1
erased8240397,1
Camera on iOS,1
Thunderclap,1
erased52744,1
Top Speed: Drag & Fast Racing,1
Badoo Premium,1
sms,1
twa norway,1
AnaTweet_com,1
TwitMentionable,1
进东北亚发展,1
StatusPeople Fake Followers,1
erased2145897,1
DISQUS,1
LockerDome,1
NetTV,1
Unfollow.fr,1
MyWiFi_pro,1
Ustream.TV,1
Plume for Android,1
Points2Shop.com,1
Instant-Gaming.com,1
Dropbox ,1
Red Bull Stratos,1
YellowAnt,1
Yfrog,1
Gravity,1
Sony Xperia™ smartphone,1
No Hope Left - C Virus Map,1
TweetMeme,1
